问题id,问题,问题聚类
635,我想知道2019年的年度报告中，机构投资者持有的份额占比超过66%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,24
636,请问在有色金属行业，20191119行业的A股公司有多少?,43
637,请帮我查询在截止2019-09-30的基金定期报告中，基金总赎回份额为零的基金有几个？,1
638,请问2020年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,34
640,我想知道德邦基金管理有限公司在2019年成立了多少只管理费率小于0.8%的基金？,9
642,我想知道兴全优选进取三个月持有期混合(FOF)A基金在20210630的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,4
644,请帮我查询在截止2021-12-31的基金定期报告中，基金总赎回份额为零的基金有几个？,1
645,20200820日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,22
647,请列出博时基金管理有限公司在2019年成立并且托管人为中国工商银行股份有限公司的所有基金的基金托管费率的平均数。,15
648,请问在家用电器行业，20201007行业的A股公司有多少?,43
650,我想知道易方达全球医药行业混合(QDII)基金，在2020年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,12
652,"请帮我查询下，在20190114，申万行业分类里一级行业为非银金融行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",37
654,20211206日，一级行业为公用事业的股票的成交量合计是多少？取整。,7
657,在2021年12月季报中，持有健之佳这一股票且市值占基金资产净值比不小于5%的有几只基金？,39
658,请帮我查询下，在2019年12月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,0
659,2019年中期报告里，国融基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,30
661,我想知道兴银基金管理有限责任公司在2020年成立了多少只管理费率小于0.8%的基金？,9
663,请帮我计算，在20200911，中信行业分类划分的一级行业为纺织服装行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,8
665,请问2020年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,34
669,"在20191231的年报(含半年报)中，广发景宁纯债债券A基金的债券持仓,其持有最大仓位的债券类型是什么?",5
670,20210427港股下跌的股票家数有多少家?,10
671,请帮我查询下，在2021年06月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,0
673,在2021年的年度报告里，交银施罗德基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,21
674,请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,16
675,帮我查询在2020年12月31日，代码为008303的基金前20大重仓股票中属于中信二级其他医药医疗行业的平均市值是多少？小数点后保留不超过3位。,29
676,请帮我查询在截止2021-09-30的基金定期报告中，基金总赎回份额为零的基金有几个？,1
677,帮我查一下在2021年，代码为002300的A股股票今开盘高于昨收盘的天数？,2
679,请列出博时基金管理有限公司在2019年成立并且托管人为平安银行股份有限公司的所有基金的基金托管费率的平均数。,15
680,"请帮我查询下在2020年, 永赢基金管理有限公司管理的债券型基金中，持有过超短期融资券的基金有多少只？",35
683,帮我查询在2020年12月31日，代码为009926的基金前20大重仓股票中属于中信二级其他军工Ⅱ行业的平均市值是多少？小数点后保留不超过3位。,29
686,请列出格林基金管理有限公司在2020年成立并且托管人为中国农业银行股份有限公司的所有基金的基金托管费率的平均数。,15
688,"帮我算一下在20211108,代码为00159的港股日价格振幅是多少，小数点后保留不超过3位。",55
689,2021年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,33
690,请帮我查询下股票代码为002560的股票在2020年内最高日收盘价是多少？,51
695,请查询在2021年度，688656股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,26
698,"帮我算一下在20190828,代码为08613的港股日价格振幅是多少，小数点后保留不超过3位。",55
706,我想知道2020年的中期报告中，机构投资者持有的份额占比超过75%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,24
707,20200424日，一级行业为汽车的股票的成交金额合计是多少？取整。,7
708,民生加银睿智一年定期开放债券基金在20200930的季报里，前三大持仓占比的债券名称是什么?,18
709,请帮我计算，代码为600510的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,36
710,我想知道2020年的中期报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,24
714,信澳慧管家货币B基金在20210630的季报里，前三大持仓占比的债券名称是什么?,18
715,查询下基金代码009250的基金，它的托管人是？,50
716,我想知道招商安元灵活配置混合C基金在20191231的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,4
718,我想知道股票301096在申万行业分类下的二级行业是什么？用最新的数据。,17
719,帮我查询在2020年12月31日，代码为009902的基金前20大重仓股票中属于中信二级生物医药Ⅱ行业的平均市值是多少？小数点后保留不超过3位。,29
722,在2021年的中期报告里，易方达基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,21
725,在2021年12月年报(含半年报)中，国泰君安君得鑫两年持有期混合C基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有几个？,46
727,2021年中期报告里，西部利得基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,30
728,"我想了解一下兴业基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",23
730,在20201031，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,44
731,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有几个。,16
732,我想知道易方达裕富债券A基金在20200630的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,4
734,请问在非银金融行业，20190603行业的A股公司有多少?,43
736,查询下基金代码007059的基金，它的管理费率是？,50
738,"请帮我查询下在2019年, 山西证券股份有限公司管理的债券型基金中，持有过公司债券的基金有多少只？",35
739,我想知道建信基金管理有限责任公司在2020年成立了多少只管理费率小于0.8%的基金？,9
740,"请帮我查询下在2020年, 安信基金管理有限责任公司管理的债券型基金中，持有过超短期融资券的基金有多少只？",35
741,"请查询：2019年12月年报(含半年报),持有19农业银行CD207且是前10大重仓股的基金有几个？",25
743,请查询在20210301日期，中信行业分类下电子一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,27
747,我想知道易方达恒盛3个月定期开放混合基金在20210930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,4
748,我想知道汇添富悦享定期开放混合基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,12
749,我想知道股票300645在申万行业分类下的二级行业是什么？用最新的数据。,17
751,"请查询：2020年12月年报(含半年报),持有20交投Y4且是前10大重仓股的基金有几个？",25
753,20201027日，请给出华安添瑞6个月持有期混合C基金的管理人和累计单位净值。,14
758,我想知道交银施罗德可转债债券C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,4
759,在2020年12月季报中，持有温氏股份这一股票且市值占基金资产净值比不小于5%的有几只基金？,39
760,我想知道金鹰鑫益灵活配置混合E基金在20190930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,4
762,20211104日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,22
763,我想知道国泰信用互利债券A基金在20211231的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,4
764,请帮我查询下股票代码为002925的股票在2021年内最高日收盘价是多少？,51
767,请帮我查询在截止2020-06-30的基金定期报告中，基金总赎回份额为零的基金有几个？,1
768,请查询在2020年度，300397股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,26
769,请问股票代码为600578的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,42
773,2020年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,33
774,帮我查一下在2020年，代码为000929的A股股票今开盘高于昨收盘的天数？,2
775,我想知道鹏华丰诚债券A基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,4
777,请帮我查询出20210511日，建筑装饰一级行业涨幅超过5%（不包含）的股票数量。,31
779,请帮我查询下股票代码为002870的股票在2021年内最高日收盘价是多少？,51
780,帮我查一下在2020年，代码为601028的A股股票今开盘高于昨收盘的天数？,2
781,20190917日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,13
783,20190401日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,13
784,我想知道信澳量化多因子混合(LOF)A在2020年Q1的季报中，该基金的第5大重仓股的代码是什么?,49
785,20190726日，一级行业为化工的股票的成交量合计是多少？取整。,7
787,我想知道在2019年，广发基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,20
789,请帮我查询在截止2019-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,1
792,"请查询：2019年12月年报(含半年报),持有19农业银行CD120且是前10大重仓股的基金有几个？",25
798,国寿安保泰恒纯债债券基金在20200630且报告类型是年报(含半年报)的持债市值中，哪类债券市值最高？,52
802,在2020年的年度报告里，华安基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,21
804,请问2020年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,34
805,请帮我计算，代码为300142的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,36
806,请问2021年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,34
808,20190408日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,22
812,20210218港股下跌的股票家数有多少家?,10
814,请问股票代码为600601的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,42
816,"请帮我查询在2020年,恒生前海基金管理有限公司成立哪种类型的基金个数最多?",32
817,请帮我查询下股票代码为301182的股票在2021年内最高日收盘价是多少？,51
819,招商基金管理有限公司管理的混合型产品的数量有多少?,54
820,请查询：在20190729，属于申万二级橡胶行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,48
822,融通增强收益债券C基金在20201231的季报里，前三大持仓占比的债券名称是什么?,18
823,请查询：在20190906，属于申万二级营销传播行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,48
824,2019年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,33
825,在2021年11月22日，使用中信行业分类标准，股票代码600267是属于哪个一级行业的?,40
828,20201231日，建筑装饰一级行业有多少只A股股票？,41
829,请帮我计算，代码为601117的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,36
831,在2019年报中，中科沃土沃瑞灵活配置混合C基金第七大重仓股的代码和股票名称是什么？,56
832,20200616日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,13
833,2020年四季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,33
838,20210907日，一级行业为家用电器的股票的成交量合计是多少？取整。,7
839,我想知道泰康申润一年持有期混合C基金在20210331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,4
840,20190812日，一级行业为家用电器的股票的成交金额合计是多少？取整。,7
841,我想知道蜂巢基金管理有限公司在2020年成立了多少只管理费率小于0.8%的基金？,9
842,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，中信行业分类行业划分标准,建筑一级行业中, 代码为多少的股票的日均收益率最高？",28
845,在2021年报中，荃银高科和格力地产分别在多少只基金的前10大重仓股里？,41
846,请帮我查询在截止2019-09-30的报告期间，基金总份额降低的基金数量是多少？,45
848,"请帮我查询下在2020年, 西部利得基金管理有限公司管理的债券型基金中，持有过可交换公司债券的基金有多少只？",35
849,20201207日，请给出嘉合永泰优选三个月持有期混合(FOF)C基金的管理人和累计单位净值。,14
850,请帮我计算，代码为000776的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,36
852,"请帮我查询下，在20201030，中信行业分类里一级行业为房地产行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？",37
858,20200617日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,13
859,我想知道鹏扬聚利六个月持有期债券A基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,4
860,请帮我查询下，在2021年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,0
863,20210701日，请给出博道嘉兴一年持有期混合基金的管理人和累计单位净值。,14
864,请查询：在20200319，属于申万二级电气自动化设备行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,48
865,西部利得得尊纯债债券C基金在20211231且报告类型是季报的持债市值中，哪类债券市值最高？,52
869,我想知道长城品质成长混合C基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,12
870,鹏华添利宝货币B基金在20210331且报告类型是季报的持债市值中，哪类债券市值最高？,52
872,请帮我查询在截止2019-06-30的基金定期报告中，基金总赎回份额为零的基金有几个？,1
873,在2020年12月年报(含半年报)中，中欧真益稳健一年持有期混合C基金持有市值最多的前10只股票中，所在证券市场是深圳证券交易所的有几个？,46
874,请帮我查询下，在2020年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,0
875,20190129日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,13
876,在2019年12月季报中，持有长实集团这一股票且市值占基金资产净值比不小于5%的有几只基金？,39
877,2019年四季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,33
882,在2020年12月季报中，持有九洲药业这一股票且市值占基金资产净值比不小于5%的有几只基金？,39
883,"在20200630的年报(含半年报)中，国泰农惠定期开放债券基金的债券持仓,其持有最大仓位的债券类型是什么?",5
888,查询下基金代码010663的基金，它的管理费率是？,50
889,请帮我查询在截止2020-09-30的基金定期报告中，基金总赎回份额为零的基金有几个？,1
891,20200907日，请给出华宝大健康混合A基金的管理人和累计单位净值。,14
892,我想知道凯石沣混合C基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,4
893,在2020年报中，招商沪深300高贝塔指数基金第三大重仓股的代码和股票名称是什么？,56
895,在2021年报中，鹏华核心优势混合A基金第十大重仓股的代码和股票名称是什么？,56
896,2021年四季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,33
897,20211027日，请给出光大阳光稳债收益12个月持有期债券C基金的管理人和单位净值。单位净值保留两位小数。,14
898,我想知道在2020年，南方基金管理股份有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,20
899,请查询：在20201130，属于申万二级农产品加工行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,48
900,我想知道在2019年，泓德基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,20
902,在2019年报中，鹏华核心优势混合A基金第四大重仓股的代码和股票名称是什么？,56
903,20190724日，一级行业为医药生物的股票的成交量合计是多少？取整。,7
904,股票600290在20211105日期中的收盘价是多少?（小数点保留3位）,47
905,请问2020年二季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,34
906,我想知道前海开源中药研究精选股票A在2021年Q2的季报中，该基金的第4大重仓股的代码是什么?,49
908,请问2021年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,34
910,请帮我计算，代码为603937的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,36
911,"我想了解一下银华基金管理股份有限公司2020年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",23
912,"请查询：2020年12月年报(含半年报),持有16华润01且是前10大重仓股的基金有几个？",25
913,在2021年的中期报告里，博时基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,21
914,20201116日，一级行业为综合金融的股票的成交量合计是多少？取整。,7
917,在2020年报中，南方荣尊混合A基金第六大重仓股的代码和股票名称是什么？,56
919,2019年中期报告里，东方基金管理股份有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,30
920,请帮我计算：在20190612，日收益率为负的A股股票有几个。,7
923,我想知道兴全合宜灵活配置混合(LOF)C在2021年Q1的季报中，该基金的第2大重仓股的代码是什么?,49
925,请帮我查询下股票代码为600351的股票在2021年内最高日收盘价是多少？,51
931,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2020年，中信行业分类行业划分标准,非银行金融一级行业中, 代码为多少的股票的日均收益率最高？",28
934,20210429港股下跌的股票家数有多少家?,10
935,请帮我查询下，在2021年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,0
936,我想知道在20200930的季报里，东兴中证消费50指数C投资的股票分别是哪些申万一级行业？,53
938,帮我查一下上银中证500指数增强C基金在20210827的资产净值和单位净值是多少?,38
939,请帮我查询出20210712日，建材一级行业涨幅超过5%（不包含）的股票数量。,31
940,请帮我查询下，在2020年Q4季报报告中，008572基金的第一大重仓可转债同期还有多少只基金也进行了持仓？,3
942,"在20190630的年报(含半年报)中，德邦锐兴债券A基金的债券持仓,其持有最大仓位的债券类型是什么?",5
944,招商基金管理有限公司管理的股票型产品的数量有多少?,6
945,查询下基金代码009106的基金，它的托管费率是？,50
949,在2019年1月27日，使用中信行业分类标准，股票代码002051是属于哪个一级行业的?,40
950,查询下基金代码009104的基金，它的管理费率是？,50
951,请查询：在20200629，属于申万二级金属非金属新材料行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,48
952,我想知道华夏创业板动量成长ETF基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,12
953,我想知道淳厚基金管理有限公司在2019年成立了多少只管理费率小于0.8%的基金？,9
954,在20191007，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,44
955,"请帮我查询在2019年,宏利基金管理有限公司成立哪种类型的基金个数最多?",32
959,博时双季享六个月持有期债券C基金在20210630的季报里，前三大持仓占比的债券名称是什么?,18
961,国泰宏益一年持有期混合A基金在20210630且报告类型是年报(含半年报)的持债市值中，哪类债券市值最高？,52
962,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于股票型类型的有几个。,16
963,20191030日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,13
968,20191231日，创世纪在多少只基金的前十大重仓股中？,41
970,请问2019年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,34
973,请问2019年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,34
975,请查询：在20190304，属于申万二级电气自动化设备行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,48
976,"请查询：2019年12月年报(含半年报),持有15象屿MTN002且是前10大重仓股的基金有几个？",25
977,帮我查一下易方达科融混合基金在20190426的资产净值和单位净值是多少?,38
978,2019年年度报告里，格林基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,30
979,在2019年12月季报中，持有山东黄金这一股票且市值占基金资产净值比不小于5%的有几只基金？,39
982,我想知道诺安鼎利混合A基金在20210930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,4
983,中加优选中高等级债券C基金在20200331的季报里，前三大持仓占比的债券名称是什么?,18
984,请列出国泰基金管理有限公司在2019年成立并且托管人为中国工商银行股份有限公司的所有基金的基金托管费率的平均数。,15
985,20200908日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,13
989,我想知道广发睿享稳健增利混合A基金，在2019年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,12
990,我想知道2019年的中期报告中，机构投资者持有的份额占比超过50%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,24
991,"我想了解一下格林基金管理有限公司2020年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",23
993,嘉合磐泰短债债券C基金在20200630的季报里，前三大持仓占比的债券名称是什么?,18
994,请帮我查询在截止2021-12-31的报告期间，基金总份额降低的基金数量是多少？,45
995,股票000833在20190102日期中的收盘价是多少?（小数点保留3位）,47
998,在2020年报中，交银施罗德可转债债券A基金第七大重仓股的代码和股票名称是什么？,56
