基金代码,基金全称,基金简称,管理人,托管人,基金类型,成立日期,到期日期,管理费率,托管费率
000006,西部利得量化成长混合型发起式证券投资基金A类,西部利得量化成长混合A,西部利得基金管理有限公司,中国农业银行股份有限公司,混合型,20190319,30001231,1.2%,0.1%
000028,华富安鑫债券型证券投资基金,华富安鑫债券,华富基金管理有限公司,上海浦东发展银行股份有限公司,债券型,20190612,30001231,0.7%,0.2%
000030,长城核心优选灵活配置混合型证券投资基金A类,长城核心优选灵活配置混合A,长城基金管理有限公司,中国建设银行股份有限公司,混合型,20190524,30001231,1.2%,0.2%
000037,广发景宁纯债债券型证券投资基金A类,广发景宁纯债债券A,广发基金管理有限公司,中国工商银行股份有限公司,债券型,20200422,30001231,0.3%,0.05%
000058,国联安安泰灵活配置混合型证券投资基金,国联安安泰灵活配置混合,国联安基金管理有限公司,中国工商银行股份有限公司,混合型,20190605,30001231,0.9%,0.2%
000066,诺安鸿鑫混合型证券投资基金A类,诺安鸿鑫混合A,诺安基金管理有限公司,中国工商银行股份有限公司,混合型,20190618,30001231,1.2%,0.2%
000072,华安稳健回报混合型证券投资基金A类,华安稳健回报混合A,华安基金管理有限公司,中国建设银行股份有限公司,混合型,20190628,30001231,0.7%,0.2%
000089,民生加银高等级信用债债券型证券投资基金C类,民生加银高等级信用债债券C,民生加银基金管理有限公司,中国建设银行股份有限公司,债券型,20200724,30001231,0.3%,0.1%
000090,民生加银高等级信用债债券型证券投资基金A类,民生加银高等级信用债债券A,民生加银基金管理有限公司,中国建设银行股份有限公司,债券型,20200724,30001231,0.3%,0.1%
000126,招商安润灵活配置混合型证券投资基金A类,招商安润灵活配置混合A,招商基金管理有限公司,中国银行股份有限公司,混合型,20190514,30001231,1.2%,0.2%
000134,中信保诚嘉鸿债券型证券投资基金A类,中信保诚嘉鸿债券A,中信保诚基金管理有限公司,中国银行股份有限公司,债券型,20200724,30001231,0.2%,0.05%
000135,中信保诚嘉鸿债券型证券投资基金C类,中信保诚嘉鸿债券C,中信保诚基金管理有限公司,中国银行股份有限公司,债券型,20200724,30001231,0.2%,0.05%
000142,融通增强收益债券型证券投资基金A类,融通增强收益债券A,融通基金管理有限公司,中国工商银行股份有限公司,债券型,20190716,30001231,0.7%,0.2%
000166,中海信息产业精选混合型证券投资基金A类,中海信息产业精选混合A,中海基金管理有限公司,上海浦东发展银行股份有限公司,混合型,20190515,30001231,1.2%,0.2%
000189,易方达丰华债券型证券投资基金A类,易方达丰华债券A,易方达基金管理有限公司,招商银行股份有限公司,债券型,20190219,30001231,0.8%,0.2%
000195,工银瑞信成长收益混合型证券投资基金A类,工银瑞信成长收益混合A,工银瑞信基金管理有限公司,招商银行股份有限公司,混合型,20190719,30001231,0.6%,0.15%
000196,工银瑞信成长收益混合型证券投资基金B类,工银瑞信成长收益混合B,工银瑞信基金管理有限公司,招商银行股份有限公司,混合型,20190719,30001231,0.6%,0.15%
000270,建信灵活配置混合型证券投资基金,建信灵活配置混合,建信基金管理有限责任公司,中国民生银行股份有限公司,混合型,20191011,30001231,1%,0.2%
000322,农银汇理金汇债券型证券投资基金A类,农银汇理金汇债券A,农银汇理基金管理有限公司,交通银行股份有限公司,债券型,20200629,30001231,0.27%,0.08%
000346,建信安心回报6个月定期开放债券型证券投资基金A类,建信安心回报6个月定期开放债券A,建信基金管理有限责任公司,招商银行股份有限公司,债券型,20190425,30001231,0.3%,0.1%
000347,建信安心回报6个月定期开放债券型证券投资基金C类,建信安心回报6个月定期开放债券C,建信基金管理有限责任公司,招商银行股份有限公司,债券型,20190425,30001231,0.3%,0.1%
000487,嘉实3个月理财债券型证券投资基金A类,嘉实3个月理财债券型A,嘉实基金管理有限公司,中国银行股份有限公司,债券型,20190322,30001231,,0.05%
000488,嘉实3个月理财债券型证券投资基金E类,嘉实3个月理财债券型E,嘉实基金管理有限公司,中国银行股份有限公司,债券型,20190322,30001231,,0.05%
000503,中信建投景和中短债债券型证券投资基金A类,中信建投景和中短债债券A,中信建投基金管理有限公司,上海浦东发展银行股份有限公司,债券型,20190606,30001231,0.3%,0.1%
000504,中信建投景和中短债债券型证券投资基金C类,中信建投景和中短债债券C,中信建投基金管理有限公司,上海浦东发展银行股份有限公司,债券型,20190606,30001231,0.3%,0.1%
000512,国泰沪深300指数增强型证券投资基金A类,国泰沪深300指数增强A,国泰基金管理有限公司,中国银行股份有限公司,股票型,20190402,30001231,0.9%,0.2%
000673,融通四季添利债券型证券投资基金(LOF)C类,融通四季添利债券(LOF)C,融通基金管理有限公司,中国工商银行股份有限公司,债券型,20200513,30001231,0.6%,0.2%
000674,中海中短债债券型证券投资基金,中海中短债债券,中海基金管理有限公司,中国农业银行股份有限公司,债券型,20200605,30001231,0.3%,0.1%
000715,民生加银高等级信用债债券型证券投资基金E类,民生加银高等级信用债债券E,民生加银基金管理有限公司,中国建设银行股份有限公司,债券型,20200724,30001231,0.3%,0.1%
000783,博时季季享三个月持有期债券型证券投资基金A类,博时季季享三个月持有期债券A,博时基金管理有限公司,招商银行股份有限公司,债券型,20190905,30001231,0.2%,0.05%
000784,博时季季享三个月持有期债券型证券投资基金B类,博时季季享三个月持有期债券B,博时基金管理有限公司,招商银行股份有限公司,债券型,20190905,30001231,0.2%,0.05%
000791,银华安颐中短债双月持有期债券型证券投资基金C类,银华安颐中短债双月持有期债券C,银华基金管理股份有限公司,中国农业银行股份有限公司,债券型,20201215,30001231,0.3%,0.05%
000808,招商招利1个月期理财债券型证券投资基金A类,招商招利1个月期理财债券型A,招商基金管理有限公司,中国农业银行股份有限公司,债券型,20200228,30001231,0.3%,0.08%
000809,招商招利1个月期理财债券型证券投资基金B类,招商招利1个月期理财债券型B,招商基金管理有限公司,中国农业银行股份有限公司,债券型,20200228,30001231,0.3%,0.08%
000833,易方达富华纯债债券型证券投资基金C类,易方达富华纯债债券C,易方达基金管理有限公司,兴业银行股份有限公司,债券型,20201228,30001231,0.3%,0.1%
000931,国寿安保尊益信用纯债债券型证券投资基金,国寿安保尊益信用纯债债券,国寿安保基金管理有限公司,上海浦东发展银行股份有限公司,债券型,20190605,30001231,0.3%,0.1%
000961,天弘沪深300交易型开放式指数证券投资基金联接基金A类,天弘沪深300ETF联接A,天弘基金管理有限公司,招商证券股份有限公司,股票型,20191209,30001231,0.5%,0.1%
000962,天弘中证500交易型开放式指数证券投资基金联接基金A类,天弘中证500ETF联接A,天弘基金管理有限公司,国泰君安证券股份有限公司,股票型,20200808,30001231,0.5%,0.1%
001057,华夏理财30天债券型证券投资基金A类,华夏理财30天债券型A,华夏基金管理有限公司,中国建设银行股份有限公司,债券型,20201228,30001231,0.27%,0.08%
001058,华夏理财30天债券型证券投资基金B类,华夏理财30天债券型B,华夏基金管理有限公司,中国建设银行股份有限公司,债券型,20201228,30001231,0.27%,0.08%
001124,融通增强收益债券型证券投资基金C类,融通增强收益债券C,融通基金管理有限公司,中国工商银行股份有限公司,债券型,20190716,30001231,0.7%,0.2%
001351,诺安中证500指数增强型证券投资基金A类,诺安中证500指数增强A,诺安基金管理有限公司,中国银行股份有限公司,股票型,20190115,30001231,1%,0.15%
001516,大成安汇金融债债券型证券投资基金E类,大成安汇金融债债券E,大成基金管理有限公司,中国银行股份有限公司,债券型,20200804,30001231,0.27%,0.08%
001556,天弘中证500指数增强型证券投资基金A类,天弘中证500指数增强A,天弘基金管理有限公司,招商证券股份有限公司,股票型,20190812,30001231,0.6%,0.1%
001557,天弘中证500指数增强型证券投资基金C类,天弘中证500指数增强C,天弘基金管理有限公司,招商证券股份有限公司,股票型,20190812,30001231,0.6%,0.1%
001592,天弘创业板交易型开放式指数证券投资基金联接基金A类,天弘创业板ETF联接A,天弘基金管理有限公司,国泰君安证券股份有限公司,股票型,20190913,30001231,0.5%,0.1%
001593,天弘创业板交易型开放式指数证券投资基金联接基金C类,天弘创业板ETF联接C,天弘基金管理有限公司,国泰君安证券股份有限公司,股票型,20190913,30001231,0.5%,0.1%
001594,天弘中证银行交易型开放式指数证券投资基金联接基金A类,天弘中证银行ETF联接A,天弘基金管理有限公司,招商证券股份有限公司,股票型,20201212,30001231,0.5%,0.1%
001595,天弘中证银行交易型开放式指数证券投资基金联接基金C类,天弘中证银行ETF联接C,天弘基金管理有限公司,招商证券股份有限公司,股票型,20201212,30001231,0.5%,0.1%
001617,天弘中证电子交易型开放式指数证券投资基金联接基金A类,天弘中证电子ETF联接A,天弘基金管理有限公司,海通证券股份有限公司,股票型,20200228,30001231,0.5%,0.1%
001618,天弘中证电子交易型开放式指数证券投资基金联接基金C类,天弘中证电子ETF联接C,天弘基金管理有限公司,海通证券股份有限公司,股票型,20200228,30001231,0.5%,0.1%
001619,兴银汇福定期开放债券型发起式证券投资基金,兴银汇福定期开放债券,兴银基金管理有限责任公司,兴业银行股份有限公司,债券型,20190328,30001231,0.3%,0.1%
001629,天弘中证计算机主题交易型开放式指数证券投资基金联接基金A类,天弘中证计算机主题ETF联接A,天弘基金管理有限公司,中信证券股份有限公司,股票型,20200321,30001231,0.5%,0.1%
001630,天弘中证计算机主题交易型开放式指数证券投资基金联接基金C类,天弘中证计算机主题ETF联接C,天弘基金管理有限公司,中信证券股份有限公司,股票型,20200321,30001231,0.5%,0.1%
001693,招商招利1个月期理财债券型证券投资基金C类,招商招利1个月期理财债券型C,招商基金管理有限公司,中国农业银行股份有限公司,债券型,20200228,30001231,0.3%,0.08%
001723,华商新动力混合型证券投资基金A类,华商新动力混合A,华商基金管理有限公司,中国工商银行股份有限公司,混合型,20201208,30001231,1.2%,0.2%
001750,景顺长城景瑞收益债券型证券投资基金A类,景顺长城景瑞收益债券A,景顺长城基金管理有限公司,兴业银行股份有限公司,债券型,20200423,30001231,0.3%,0.1%
001783,兴银合盈债券型证券投资基金A类,兴银合盈债券A,兴银基金管理有限责任公司,兴业银行股份有限公司,债券型,20190227,30001231,0.3%,0.05%
001784,兴银合盈债券型证券投资基金C类,兴银合盈债券C,兴银基金管理有限责任公司,兴业银行股份有限公司,债券型,20190227,30001231,0.3%,0.05%
001879,长城创业板指数增强型发起式证券投资基金A类,长城创业板指数增强A,长城基金管理有限公司,中国工商银行股份有限公司,股票型,20190129,30001231,1%,0.15%
001900,诺安精选价值混合型证券投资基金,诺安精选价值混合,诺安基金管理有限公司,中国工商银行股份有限公司,混合型,20190228,30001231,1.2%,0.2%
001932,国寿安保灵活优选混合型证券投资基金,国寿安保灵活优选混合,国寿安保基金管理有限公司,中国银行股份有限公司,混合型,20190412,20230824,0.8%,0.25%
001984,摩根中国生物医药混合型证券投资基金(QDII)A类,摩根中国生物医药混合(QDII)A,摩根基金管理(中国)有限公司,中国银行股份有限公司,其他型,20190222,30001231,1.5%,0.25%
002063,国泰沪深300指数增强型证券投资基金C类,国泰沪深300指数增强C,国泰基金管理有限公司,中国银行股份有限公司,股票型,20190402,30001231,0.9%,0.2%
002076,浙商中证500指数增强型证券投资基金A类,浙商中证500指数增强A,浙商基金管理有限公司,交通银行股份有限公司,股票型,20190424,30001231,0.5%,0.1%
002197,国泰鑫策略价值灵活配置混合型证券投资基金,国泰鑫策略价值灵活配置混合,国泰基金管理有限公司,中国银行股份有限公司,混合型,20190103,30001231,1.2%,0.2%
002256,金信行业优选灵活配置混合型发起式证券投资基金,金信行业优选灵活配置混合,金信基金管理有限公司,招商银行股份有限公司,混合型,20190510,30001231,1.5%,0.25%
002271,招商安弘灵活配置混合型证券投资基金,招商安弘灵活配置混合,招商基金管理有限公司,中国建设银行股份有限公司,混合型,20190103,30001231,1.2%,0.2%
002274,中邮纯债聚利债券型证券投资基金A类,中邮纯债聚利债券型A,中邮创业基金管理股份有限公司,中国农业银行股份有限公司,债券型,20200227,30001231,0.3%,0.1%
002275,中邮纯债聚利债券型证券投资基金C类,中邮纯债聚利债券型C,中邮创业基金管理股份有限公司,中国农业银行股份有限公司,债券型,20200227,30001231,0.3%,0.1%
002282,平安安享灵活配置混合型证券投资基金A类,平安安享灵活配置混合A,平安基金管理有限公司,中国建设银行股份有限公司,混合型,20190215,30001231,0.6%,0.1%
002288,中银稳进策略灵活配置混合型证券投资基金A类,中银稳进策略灵活配置混合A,中银基金管理有限公司,中信银行股份有限公司,混合型,20190213,30001231,1.2%,0.2%
002293,南方益和灵活配置混合型证券投资基金,南方益和灵活配置混合,南方基金管理股份有限公司,中国建设银行股份有限公司,混合型,20190118,30001231,1.2%,0.2%
002295,广发稳安灵活配置混合型证券投资基金A类,广发稳安灵活配置混合A,广发基金管理有限公司,中国工商银行股份有限公司,混合型,20190215,30001231,1.2%,0.2%
002296,长城行业轮动灵活配置混合型证券投资基金A类,长城行业轮动灵活配置混合A,长城基金管理有限公司,中国建设银行股份有限公司,混合型,20190118,30001231,1.2%,0.2%
002301,兴业短债债券型证券投资基金A类,兴业短债债券A,兴业基金管理有限公司,中国民生银行股份有限公司,债券型,20190521,30001231,0.25%,0.05%
002304,平安安心灵活配置混合型证券投资基金A类,平安安心灵活配置混合A,平安基金管理有限公司,中国银行股份有限公司,混合型,20190118,30001231,0.6%,0.1%
002337,创金合信季安鑫3个月持有期债券型证券投资基金A类,创金合信季安鑫3个月持有期债券A,创金合信基金管理有限公司,招商银行股份有限公司,债券型,20200609,30001231,0.25%,0.1%
002338,兴业优债增利债券型证券投资基金A类,兴业优债增利债券A,兴业基金管理有限公司,中国银行股份有限公司,债券型,20200324,30001231,0.3%,0.05%
002344,融通增益债券型证券投资基金C类,融通增益债券C,融通基金管理有限公司,中国邮政储蓄银行股份有限公司,债券型,20190513,30001231,0.3%,0.06%
002389,招商安德灵活配置混合型证券投资基金A类,招商安德灵活配置混合A,招商基金管理有限公司,中国银行股份有限公司,混合型,20190219,30001231,1.2%,0.2%
002390,招商安德灵活配置混合型证券投资基金C类,招商安德灵活配置混合C,招商基金管理有限公司,中国银行股份有限公司,混合型,20190219,30001231,1.2%,0.2%
002412,华富安福债券型证券投资基金,华富安福债券,华富基金管理有限公司,中国建设银行股份有限公司,债券型,20190402,30001231,0.7%,0.2%
002415,融通通盈灵活配置混合型证券投资基金,融通通盈灵活配置混合,融通基金管理有限公司,中国建设银行股份有限公司,混合型,20190321,30001231,1.2%,0.2%
002420,汇添富盈鑫灵活配置混合型证券投资基金A类,汇添富盈鑫灵活配置混合A,汇添富基金管理股份有限公司,中国工商银行股份有限公司,混合型,20190319,30001231,1.2%,0.2%
002446,广发利鑫灵活配置混合型证券投资基金A类,广发利鑫灵活配置混合A,广发基金管理有限公司,兴业银行股份有限公司,混合型,20190327,30001231,1.2%,0.2%
002447,博时裕安纯债一年定期开放债券型发起式证券投资基金,博时裕安纯债一年定期开放债券,博时基金管理有限公司,南京银行股份有限公司,债券型,20200508,30001231,0.3%,0.1%
002456,招商安元灵活配置混合型证券投资基金A类,招商安元灵活配置混合A,招商基金管理有限公司,中国银行股份有限公司,混合型,20190302,30001231,1.2%,0.2%
002457,招商安元灵活配置混合型证券投资基金C类,招商安元灵活配置混合C,招商基金管理有限公司,中国银行股份有限公司,混合型,20190302,30001231,1.2%,0.2%
002458,国泰民利策略收益灵活配置混合型证券投资基金,国泰民利策略收益灵活配置混合,国泰基金管理有限公司,中国建设银行股份有限公司,混合型,20190720,30001231,0.9%,0.2%
002489,国泰民福策略价值灵活配置混合型证券投资基金A类,国泰民福策略价值灵活配置混合A,国泰基金管理有限公司,中国银行股份有限公司,混合型,20190330,30001231,0.8%,0.2%
002512,长城久润灵活配置混合型证券投资基金A类,长城久润灵活配置混合A,长城基金管理有限公司,中国农业银行股份有限公司,混合型,20190507,30001231,1.2%,0.2%
002537,平安安盈灵活配置混合型证券投资基金A类,平安安盈灵活配置混合A,平安基金管理有限公司,平安银行股份有限公司,混合型,20190426,30001231,1.2%,0.2%
002542,长城久鼎灵活配置混合型证券投资基金A类,长城久鼎灵活配置混合A,长城基金管理有限公司,中国银行股份有限公司,混合型,20190726,30001231,1.2%,0.2%
002598,平安消费精选混合型证券投资基金A类,平安消费精选混合A,平安基金管理有限公司,中国建设银行股份有限公司,混合型,20191231,30001231,1.2%,0.2%
002599,平安消费精选混合型证券投资基金C类,平安消费精选混合C,平安基金管理有限公司,中国建设银行股份有限公司,混合型,20191231,30001231,1.2%,0.2%
002601,中银证券价值精选灵活配置混合型证券投资基金,中银证券价值精选灵活配置混合,中银国际证券股份有限公司,中国建设银行股份有限公司,混合型,20190510,30001231,1.2%,0.2%
002603,工银瑞信瑞丰半年定期开放纯债债券型发起式证券投资基金,工银瑞信瑞丰半年定期开放纯债债券,工银瑞信基金管理有限公司,中国光大银行股份有限公司,债券型,20201215,30001231,0.3%,0.1%
002612,融通通慧混合型证券投资基金A/B类,融通通慧混合A/B,融通基金管理有限公司,中国建设银行股份有限公司,混合型,20190516,30001231,0.6%,0.1%
002622,广发稳裕混合型证券投资基金A类,广发稳裕混合A,广发基金管理有限公司,中国建设银行股份有限公司,混合型,20190703,30001231,0.6%,0.1%
002659,兴业中债1-3年政策性金融债指数证券投资基金A类,兴业中债1-3年政策性金融债指数A,兴业基金管理有限公司,交通银行股份有限公司,债券型,20190527,30001231,0.15%,0.05%
002690,前海开源恒泽混合型证券投资基金A类,前海开源恒泽混合A,前海开源基金管理有限公司,中国建设银行股份有限公司,混合型,20190720,30001231,0.6%,0.2%
002691,前海开源恒泽混合型证券投资基金C类,前海开源恒泽混合C,前海开源基金管理有限公司,中国建设银行股份有限公司,混合型,20190720,30001231,0.6%,0.2%
002703,长城久源灵活配置混合型证券投资基金A类,长城久源灵活配置混合A,长城基金管理有限公司,平安银行股份有限公司,混合型,20190627,30001231,1.2%,0.2%
002704,德邦锐兴债券型证券投资基金A类,德邦锐兴债券A,德邦基金管理有限公司,中国民生银行股份有限公司,债券型,20200306,30001231,0.3%,0.1%
002705,德邦锐兴债券型证券投资基金C类,德邦锐兴债券C,德邦基金管理有限公司,中国民生银行股份有限公司,债券型,20200306,30001231,0.3%,0.1%
002714,鹏华金城灵活配置混合型证券投资基金,鹏华金城灵活配置混合,鹏华基金管理有限公司,中国银行股份有限公司,混合型,20190607,30001231,0.6%,0.1%
002719,融通增祥三个月定期开放债券型发起式证券投资基金,融通增祥三个月定期开放债券,融通基金管理有限公司,江苏银行股份有限公司,债券型,20190711,20220712,0.4%,0.1%
002756,招商招兴3个月定期开放债券型发起式证券投资基金A类,招商招兴3个月定期开放债券A,招商基金管理有限公司,兴业银行股份有限公司,债券型,20190516,30001231,0.3%,0.1%
002757,招商招兴3个月定期开放债券型发起式证券投资基金C类,招商招兴3个月定期开放债券C,招商基金管理有限公司,兴业银行股份有限公司,债券型,20190516,30001231,0.3%,0.1%
002768,华安安进灵活配置混合型发起式证券投资基金A类,华安安进灵活配置混合A,华安基金管理有限公司,招商银行股份有限公司,混合型,20190115,30001231,0.6%,0.2%
002769,兴业短债债券型证券投资基金C类,兴业短债债券C,兴业基金管理有限公司,中国民生银行股份有限公司,债券型,20190521,30001231,0.25%,0.05%
002904,博时安仁一年定期开放债券型发起式证券投资基金A类,博时安仁一年定期开放债券型A,博时基金管理有限公司,中国民生银行股份有限公司,债券型,20200909,30001231,0.3%,0.1%
002905,博时安仁一年定期开放债券型发起式证券投资基金C类,博时安仁一年定期开放债券型C,博时基金管理有限公司,中国民生银行股份有限公司,债券型,20200909,30001231,0.3%,0.1%
002959,汇添富盈泰灵活配置混合型证券投资基金,汇添富盈泰灵活配置混合,汇添富基金管理股份有限公司,中国银行股份有限公司,混合型,20190813,30001231,1.2%,0.2%
003002,国金及第中短债债券型证券投资基金A类,国金及第中短债债券A,国金基金管理有限公司,中国民生银行股份有限公司,债券型,20191022,30001231,0.2%,0.05%
003009,国联盈泽中短债债券型证券投资基金A类,国联盈泽中短债债券A,国联基金管理有限公司,中国邮政储蓄银行股份有限公司,债券型,20200617,30001231,0.25%,0.1%
003010,国联盈泽中短债债券型证券投资基金C类,国联盈泽中短债债券C,国联基金管理有限公司,中国邮政储蓄银行股份有限公司,债券型,20200617,30001231,0.25%,0.1%
003070,光大保德信创业板量化优选股票型证券投资基金C类,光大保德信创业板量化优选股票C,光大保德信基金管理有限公司,中国建设银行股份有限公司,股票型,20200102,30001231,1.2%,0.2%
003071,国联睿祥纯债债券型证券投资基金A类,国联睿祥纯债债券A,国联基金管理有限公司,中国邮政储蓄银行股份有限公司,债券型,20200219,30001231,0.3%,0.1%
003072,国联睿祥纯债债券型证券投资基金C类,国联睿祥纯债债券C,国联基金管理有限公司,中国邮政储蓄银行股份有限公司,债券型,20200219,30001231,0.3%,0.1%
003123,天治鑫利纯债债券型证券投资基金A类,天治鑫利纯债债券A,天治基金管理有限公司,交通银行股份有限公司,债券型,20190307,30001231,0.3%,0.05%
003124,天治鑫利纯债债券型证券投资基金C类,天治鑫利纯债债券C,天治基金管理有限公司,交通银行股份有限公司,债券型,20190307,30001231,0.3%,0.05%
003126,长信易进混合型证券投资基金A类,长信易进混合A,长信基金管理有限责任公司,中国民生银行股份有限公司,混合型,20191128,30001231,0.6%,0.1%
003127,长信易进混合型证券投资基金C类,长信易进混合C,长信基金管理有限责任公司,中国民生银行股份有限公司,混合型,20191128,30001231,0.6%,0.1%
003163,金鹰添益3个月定期开放债券型证券投资基金,金鹰添益3个月定期开放债券,金鹰基金管理有限公司,交通银行股份有限公司,债券型,20190910,30001231,0.3%,0.1%
003189,汇添富保鑫灵活配置混合型证券投资基金A类,汇添富保鑫灵活配置混合A,汇添富基金管理股份有限公司,上海浦东发展银行股份有限公司,混合型,20191015,30001231,0.6%,0.15%
003205,财通可转债债券型证券投资基金C类,财通可转债债券C,财通基金管理有限公司,中国工商银行股份有限公司,债券型,20201020,30001231,0.8%,0.2%
003239,博时安祺6个月定期开放债券型证券投资基金A类,博时安祺6个月定期开放债券A,博时基金管理有限公司,平安银行股份有限公司,债券型,20190822,30001231,0.3%,0.1%
003240,博时安祺6个月定期开放债券型证券投资基金C类,博时安祺6个月定期开放债券C,博时基金管理有限公司,平安银行股份有限公司,债券型,20190822,30001231,0.3%,0.1%
003275,国联安添利增长债券型证券投资基金A类,国联安添利增长债券A,国联安基金管理有限公司,中国建设银行股份有限公司,债券型,20190430,30001231,0.6%,0.15%
003276,国联安添利增长债券型证券投资基金C类,国联安添利增长债券C,国联安基金管理有限公司,中国建设银行股份有限公司,债券型,20190430,30001231,0.6%,0.15%
003297,招商双债增强债券型证券投资基金(LOF)E类,招商双债增强债券(LOF)E,招商基金管理有限公司,中国农业银行股份有限公司,债券型,20190306,30001231,0.4%,0.1%
003315,景顺长城政策性金融债债券型证券投资基金A类,景顺长城政策性金融债债券A,景顺长城基金管理有限公司,兴业银行股份有限公司,债券型,20190228,30001231,0.3%,0.1%
003403,华商瑞丰短债债券型证券投资基金A类,华商瑞丰短债债券A,华商基金管理有限公司,中国工商银行股份有限公司,债券型,20190524,30001231,0.3%,0.1%
003471,新疆前海联合添鑫3个月定期开放债券型证券投资基金A类,新疆前海联合添鑫3个月定期开放债券A,新疆前海联合基金管理有限公司,浙商银行股份有限公司,债券型,20200326,30001231,0.7%,0.1%
003472,新疆前海联合添鑫3个月定期开放债券型证券投资基金C类,新疆前海联合添鑫3个月定期开放债券C,新疆前海联合基金管理有限公司,浙商银行股份有限公司,债券型,20200326,30001231,0.7%,0.1%
003520,万家1-3年政策性金融债纯债债券型证券投资基金A类,万家1-3年政策性金融债纯债债券A,万家基金管理有限公司,交通银行股份有限公司,债券型,20190325,30001231,0.3%,0.1%
003521,万家1-3年政策性金融债纯债债券型证券投资基金C类,万家1-3年政策性金融债纯债债券C,万家基金管理有限公司,交通银行股份有限公司,债券型,20190325,30001231,0.3%,0.1%
003532,汇添富鑫利定期开放债券型发起式证券投资基金A类,汇添富鑫利定期开放债券A,汇添富基金管理股份有限公司,中国工商银行股份有限公司,债券型,20190116,30001231,0.3%,0.1%
003533,汇添富鑫利定期开放债券型发起式证券投资基金C类,汇添富鑫利定期开放债券C,汇添富基金管理股份有限公司,中国工商银行股份有限公司,债券型,20190116,30001231,0.3%,0.1%
003564,博时安诚3个月定期开放债券型证券投资基金A类,博时安诚3个月定期开放债券A,博时基金管理有限公司,渤海银行股份有限公司,债券型,20190123,30001231,0.3%,0.1%
003565,博时安诚3个月定期开放债券型证券投资基金C类,博时安诚3个月定期开放债券C,博时基金管理有限公司,渤海银行股份有限公司,债券型,20190123,30001231,0.3%,0.1%
003682,博时安弘一年定期开放债券型发起式证券投资基金A类,博时安弘一年定期开放债券型A,博时基金管理有限公司,招商银行股份有限公司,债券型,20191112,30001231,0.3%,0.1%
003683,博时安弘一年定期开放债券型发起式证券投资基金C类,博时安弘一年定期开放债券型C,博时基金管理有限公司,招商银行股份有限公司,债券型,20191112,30001231,0.3%,0.1%
