问题id,问题,FA,SQL结果
0,请帮我计算，在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20210105，中信行业分类划分的一级行业为综合金融行业中，涨跌幅最大股票的股票代码是600120，涨跌幅是0.0%。,"[('600120', 0.0)]"
1,湖南长远锂科股份有限公司变更设立时作为发起人的法人有哪些？,N_A,N_A
2,请帮我查询出20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,20210415日，建筑材料一级行业涨幅超过5%（不包含）的股票数量为2。,"[(2,)]"
3,请查询在2021年度，688338股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2021年度，688338股票涨停天数是1天。,"[(1,)]"
4,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,20210304日，一级行业为非银金融的股票的成交量合计是2627492624股。,"[(2627492624.0,)]"
5,嘉实基金管理有限公司2019年成立了多少基金?,嘉实基金管理有限公司2019年成立了55只基金。,"[(55,)]"
6,云南沃森生物技术股份有限公司负责产品研发的是什么部门？,N_A,N_A
7,2021年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2021年三季度，共有2085家基金发生了净赎回，总共赎回了317373703552.49份。,"[(2085, 317373703552.49)]"
8,"请帮我查询下，在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","在20190605，中信行业分类里一级行业为石油石化行业的所有股票里, 成交金额(元)最多的股票的代码是600028，成交金额是488439709.0元。","[('600028', 488439709.0)]"
9,股票002244在20191220日期中的收盘价是多少?（小数点保留3位）,股票002244在20191220日期中的收盘价是4.670元。,"[(4.67,)]"
10,本次发行前，大连派思燃气系统股份有限公司的控股股东持有公司的多少股份？占公司总股份的多少？,N_A,N_A
11,请问2019年三季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,2019年三季度有445家基金是净申购，它们的净申购份额加起来是95620586764.09份。,"[(445, 95620586764.09)]"
12,帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?,"帮我查一下湘财长弘灵活配置混合A基金在20210419的资产净值和单位净值是多少?
资料：[(56644199.77, 1.0421, '湘财长弘灵活配置混合A')]答案：湘财长弘灵活配置混合A基金在20210419的资产净值是56644199.77元，单位净值是1.0421元。","[(56644199.77, 1.0421, '湘财长弘灵活配置混合A')]"
13,近三年，广东银禧科技股份有限公司总资产周转率分别为多少？,N_A,N_A
14,我想知道安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,用中信一级行业统计，安信稳健回报6个月持有期混合A基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
15,云南沃森生物技术股份有限公司生产的A、C脑膜炎球菌多糖结合疫苗产品具有哪些较强的竞争优势？,N_A,N_A
16,根据联化科技股份有限公司招股意见书，精细化工产品的通常利润率是多少？,N_A,N_A
17,各报告期末，江苏旷达汽车织物集团股份有限公司存货分别为多少万元？占流动资产的比例分别多少？,N_A,N_A
18,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,2019年中期报告里，华夏基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有7只。,"[(7,)]"
19,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2021年，申万行业分类行业划分标准,银行一级行业中, 代码为多少的股票的日均收益率最高？",在2021年，申万行业分类行业划分标准，银行一级行业中，代码为601528的股票的日均收益率最高，为0.372%。,"[('601528', 0.37194413515390745)]"
20,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,在20201022，按照中信行业分类的行业划分标准，机械一级行业的A股公司数量最多，为516家。,"[('机械', 516)]"
21,华瑞电器股份有限公司获得多少项国内专利？其中有多上项发明专利？,N_A,N_A
22,我想知道招商安润灵活配置混合A基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年半年度报告中，招商安润灵活配置混合A基金的前10大重仓股中有8只股票在报告期内取得正收益。,"[(8,)]"
23,帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。,在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是2238220.000元。,"[(2238220.0,)]"
24,深圳信立泰药业股份有限公司注射用头孢西丁钠（信希汀、1.0克装）在2006 年、2007 年、2008 年、2009 年1-6 月的最高零售价格分别为多少？,N_A,N_A
25,请帮我查询出20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量。,20190121日，非银行金融一级行业涨幅超过5%（不包含）的股票数量为1。,"[(1,)]"
26,请查询：在20190118，属于申万二级银行行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20190118，属于申万二级银行行业的A股股票，它们的平均成交金额是456321251.10000元。,"[(456321251.1,)]"
27,中国铁路通信信号股份有限公司的主要经营模式是怎样的？,N_A,N_A
28,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有10个。,"[(10,)]"
29,我想知道圆信永丰高端制造混合基金，在2020年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2020年半年度报告中，圆信永丰高端制造混合基金的前10大重仓股中有9只股票在报告期内取得正收益。,"[(9,)]"
30,在2019年的中期报告里，金鹰基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,在2019年的中期报告里，金鹰基金管理有限公司管理的基金中，有75.00%的比例的基金是个人投资者持有的份额超过机构投资者。,"[(75.0,)]"
31,在2019年12月季报中，持有大亚圣象这一股票且市值占基金资产净值比不小于5%的有几只基金？,在2019年12月季报中，持有大亚圣象这一股票且市值占基金资产净值比不小于5%的有1只基金。,"[(1,)]"
32,我想知道在2019年，金信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2019年，金信基金管理有限公司已发行的基金中，有3只基金报告期期初基金总份额小于报告期期末基金总份额。,"[(3,)]"
33,报告期内，武汉兴图新科电子股份有限公司来自军用领域的收入占主营业务收入的比重分别是多少？,N_A,N_A
34,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的上游涉及哪些企业？,N_A,N_A
35,请查询在2019年度，603789股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2019年度，603789股票涨停天数是1天。,"[(1,)]"
36,请查询在2020年度，600076股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2020年度，600076股票涨停天数是2天。,"[(2,)]"
37,广州中海达卫星导航技术股份有限公司本次募集资金主要投资哪些项目？,N_A,N_A
38,"我想了解一下红土创新基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",红土创新基金管理有限公司2020年成立的混合型基金，其管理费率的平均值是0.60%。,"[(0.6,)]"
39,在2008年，东莞勤上光电股份有限公司在景观亮化半导体照明领域的市场占有率为多少？,N_A,N_A
40,湖南南岭民用爆破器材股份有限公司的控股股东是谁？,N_A,N_A
41,在研发方面，上海真兰仪表科技股份有限公司利用哪三地的人才优势，成立研发中心，组建了“三位一体”的研发体系？,N_A,N_A
42,"我想了解博时研究优选灵活配置混合(LOF)A基金,在2021年四季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",在2021年四季度的季报中，博时研究优选灵活配置混合(LOF)A基金的第3大重仓股的简称是万华化学，股票代码代码为600309。该股票当季度涨跌幅为-5.39%,"[('600309', '万华化学', -5.386416861826692)]"
43,我想知道富兰克林国海大中华精选混合(QDII)(美元现汇)在2021年Q2的季报中，该基金的第1大重仓股的代码是什么?,富兰克林国海大中华精选混合(QDII)(美元现汇)在2021年Q2的季报中，该基金的第1大重仓股的代码是00700，股票简称是腾讯控股。,"[('00700', '腾讯控股')]"
44,常熟风范电力设备股份有限公司的机器设备成新率是多少？,N_A,N_A
45,2009年、2010年及2011年，海南双成药业股份有限公司销售费用分别为多少？,N_A,N_A
46,内蒙古君正能源化工股份有限公司的法定代表人是谁？,N_A,N_A
47,联化科技股份有限公司的主营业务包括哪两部分？,N_A,N_A
48,20191231日，宋城演艺在多少只基金的前七大重仓股中？,20191231日，宋城演艺在10只基金的前七大重仓股中。,"[(10,)]"
49,读者出版传媒股份有限公司的主要纸张供应商有哪些？,N_A,N_A
50,2014年大连派思燃气系统股份有限公司经营业绩下降的主要原因是什么？,N_A,N_A
51,2005年、2006年和2007年，宁波立立电子股份有限公司所获政府补助计入当期损益的金额分别占当年利润总额的比例是多少？,N_A,N_A
52,在20190211，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,在20190211，按照中信行业分类的行业划分标准，机械一级行业的A股公司数量最多，为549家。,"[('机械', 549)]"
53,帮我查一下在2019年，代码为603199的A股股票今开盘高于昨收盘的天数？,在2019年，代码为603199的A股股票今开盘高于昨收盘的天数是102天。,"[(102,)]"
54,帮我查一下鹏扬景科混合A基金在20201126的资产净值和单位净值是多少?,鹏扬景科混合A基金在20201126的资产净值是668176233.23元，单位净值是1.1144元。,"[(668176233.23, 1.1144, '鹏扬景科混合A')]"
55,请问股票代码为301005的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,股票代码为301005的股票在2021年内日成交量低于该股票当年平均日成交量的有91个交易日。,"[(91,)]"
56,我想知道股票000637在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票000637在申万行业分类下的二级行业是石油化工。,"[('石油化工',)]"
57,请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。,在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有1207个。,"[(1207,)]"
58,帮我查一下在2020年，代码为002868的A股股票今开盘高于昨收盘的天数？,在2020年，代码为002868的A股股票今开盘高于昨收盘的天数是99天。,"[(99,)]"
59,森赫电梯股份有限公司的主营业务是什么？,N_A,N_A
60,多晶硅成本约占宁波立立电子股份有限公司2007年度产品原材料成本的多大比例？,N_A,N_A
61,请查询：在20191129，属于申万二级仪器仪表行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20191129，属于申万二级仪器仪表行业的A股股票，它们的平均成交金额是75707757.00000元。,"[(75707757.0,)]"
62,易方达基金管理有限公司2019年成立了多少基金?,易方达基金管理有限公司2019年成立了57只基金。,"[(57,)]"
63,嘉实基金管理有限公司管理的债券型产品的数量有多少?,嘉实基金管理有限公司管理的债券型产品的数量是36只。,"[(36,)]"
64,我想知道股票002720在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票002720在申万行业分类下的二级行业是纺织制造。,"[('纺织制造',)]"
65,请帮我查询在截止2021-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,在截止2021-03-31的基金定期报告中，基金总赎回份额为零的基金有966个。,"[(966,)]"
66,我想知道股票600508在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票600508在申万行业分类下的二级行业是煤炭开采。,"[('煤炭开采',)]"
67,森赫电梯股份有限公司是否有技术创新方面的认定称号？是什么？,N_A,N_A
68,我想知道2020年的年度报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,2020年的年度报告中，机构投资者持有的份额占比超过30%的基金有1655只，他们总共持有了2114838198074.30份。,"[(1655, 2114838198074.3)]"
69,珠海健帆生物科技股份有限公司的哪些产品被认定为广东省高新技术产品？,N_A,N_A
70,博时基金管理有限公司管理的股票型产品的数量有多少?,博时基金管理有限公司管理的股票型产品的数量是16只。,"[(16,)]"
71,20211207日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,20211207日，成交金额最大的前三家上市公司的股票代码从大到小分别是300750，600031和002466。,"[('300750',), ('600031',), ('002466',)]"
72,深圳信立泰药业股份有限公司专门的研发机构信立泰技术中心工作人员中，多大比例的人员为本科以上学历？,N_A,N_A
73,新疆浩源天然气股份有限公司2012 年1-6 月的营业毛利为多少，综合毛利率为多少？,N_A,N_A
74,请帮我查询下股票代码为300873的股票在2021年内最高日收盘价是多少？,股票代码为300873的股票在2021年内最高日收盘价是53.76元。,"[(53.76,)]"
75,请帮我计算，代码为000798的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,代码为000798的股票，2020年一年持有的年化收益率为86.57%。,"[('000798', 86.57)]"
76,"在20210630的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?","在20210630的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是金融债券。","[('金融债券',)]"
77,请查询：在20190510，属于申万二级餐饮行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20190510，属于申万二级餐饮行业的A股股票，它们的平均成交金额是27319513.66667元。,"[(27319513.66667,)]"
78,中国铁路通信信号股份有限公司提供轨道交通控制系统全产业链上的产品及服务，主要业务包括哪些？,N_A,N_A
79,"请帮我查询下在2020年, 农银汇理基金管理有限公司管理的债券型基金中，持有过同业存单的基金有多少只？",在2020年，农银汇理基金管理有限公司管理的债券型基金中，持有过同业存单的基金有4只。,"[(4,)]"
80,在2021年12月年报(含半年报)中，惠升惠民混合A基金持有市值最多的前10只股票中，所在证券市场是中国香港证券交易所的有几个？,在2021年12月年报(含半年报)中，惠升惠民混合A基金持有市值最多的前10只股票中，所在证券市场是中国香港证券交易所的有2个。,"[(2,)]"
81,报告期内确成硅化学股份有限公司 _出口退税率为多少？,N_A,N_A
82,2021年年度报告里，凯石基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,N_A,N_A
83,20200923日，一级行业为建筑的股票的成交量合计是多少？取整。,20200923日，一级行业为建筑的股票的成交量合计是1397850836股。,"[(1397850836.0,)]"
84,除浙江双飞无油轴承股份有限公司外，具有规模的自润滑轴承生产企业还有哪些？,N_A,N_A
85,深圳信立泰药业股份有限公司主营业务是什么？,N_A,N_A
86,请查询在20190115日期，中信行业分类下轻工制造一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20190115日期，中信行业分类下轻工制造一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是603833。,"[('603833',)]"
87,查询下基金代码008295的基金，它的管理费率是？,基金代码为008295的基金的管理费率是1.2%。,"[('1.2%',)]"
88,湖南南岭民用爆破器材股份有限公司的传统市场是哪里？,N_A,N_A
89,我想知道博远增强回报债券A基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，博远增强回报债券A基金在20200930的季报中，其可转债持仓占比最大的是农林牧渔行业。,"[('农林牧渔',)]"
90,我想知道在2020年，华润元大基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2020年，华润元大基金管理有限公司已发行的基金中，有2只基金报告期期初基金总份额小于报告期期末基金总份额。,"[(2,)]"
91,广州中海达卫星导航技术股份有限公司收购的对象中海达测绘的全称是什么？截至该次股权收购前，其注册资本为多少？,N_A,N_A
92,"我想了解广发中证央企创新驱动ETF基金,在2020年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",在2020年一季度的季报中，广发中证央企创新驱动ETF基金的第6大重仓股的简称是中国铁建，股票代码代码为601186。该股票当季度涨跌幅为-3.06%。,"[('601186', '中国铁建', -3.06)]"
93,根据华瑞电器股份有限公司招股意见书，截至2016年12月31日，宁波胜克总资产为多少万元？,N_A,N_A
94,近三年，广东银禧科技股份有限公司存货周转率分别是多少？,N_A,N_A
95,武汉兴图新科电子股份有限公司参与制定了哪个技术标准？,N_A,N_A
96,西安启源机电装备股份有限公司的核心产品铁芯剪切设备的收入比重从2007年度和2009年度分别为多少？,N_A,N_A
97,报告期内，湖南国科微电子股份有限公司2014年度、2015年度、2016年度营业收入和净利润分别较上年增长多大幅度？,N_A,N_A
98,在2021年12月季报中，持有完美世界这一股票且市值占基金资产净值比不小于5%的有几只基金？,在2021年12月季报中，持有完美世界这一股票且市值占基金资产净值比不小于5%的有4只基金。,"[(4,)]"
99,2020年年度报告里，兴业基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,2020年年度报告里，兴业基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有14只。,"[(14,)]"
100,20200102日，一级行业为建筑的股票的成交金额合计是多少？取整。,20200102日，一级行业为建筑的股票的成交金额合计是15621610479元。,"[(15621610479.0,)]"
101,请查询：在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。,在2020的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有55个。,"[(55,)]"
102,我想知道浙商汇金中高等级三个月定期开放债券C基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,用中信一级行业来统计，浙商汇金中高等级三个月定期开放债券C基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
103,我想知道在2021年，光大保德信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2021年，光大保德信基金管理有限公司已发行的基金中，有7只基金报告期期初基金总份额小于报告期期末基金总份额。,"[(7,)]"
104,我想知道易方达证券保险ETF联接C在2020年Q2的季报中，该基金的第1大重仓股的代码是什么?,易方达证券保险ETF联接C在2020年Q2的季报中，该基金的第1大重仓股的代码是601816，股票简称是京沪高铁。,"[('601816', '京沪高铁')]"
105,昇兴集团股份有限公司本次发行的拟上市证券交易所是？,N_A,N_A
106,2015年度和2016年度，深圳市超频三科技股份有限公司净利润分别同比增长多少？,N_A,N_A
107,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有几个。,在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有366个。,"[(366,)]"
108,针对2021年的年度报告，有多少家基金的个人投资者持有份额占比不足13%?,针对2021年的年度报告，有740家基金的个人投资者持有份额占比不足13%。,"[(740,)]"
109,"在20210630的年报(含半年报)中，永赢泽利一年定期开放债券基金的债券持仓,其持有最大仓位的债券类型是什么?","在20210630的年报(含半年报)中，永赢泽利一年定期开放债券基金的债券持仓,其持有最大仓位的债券类型是公司债券。","[('公司债券',)]"
110,查询下基金代码009350的基金，它的管理费率是？,基金代码为009350的基金的管理费率为0.3%。,"[('0.3%',)]"
111,平安金管家货币C基金在20210630的季报里，前三大持仓占比的债券名称是什么?,平安金管家货币C基金在20210630的季报里，前三大持仓占比的债券名称是19国开02，20浦发银行CD513和21宁波银行CD164。,"[('19国开02',), ('20浦发银行CD513',), ('21宁波银行CD164',)]"
112,上海真兰仪表科技股份有限公司实际持有的罗德精密的初始工商登记发起人有哪些？,N_A,N_A
113,华瑞电器股份有限公司，宁波胜克2016年度实现净利润为多少万元？,N_A,N_A
114,广发景兴中短债债券A基金在20200930且报告类型是季报的持债市值中，哪类债券市值最高？,广发景兴中短债债券A基金在20200930且报告类型是季报的持债市值中，金融债券市值最高。,"[('金融债券',)]"
115,我想知道股票600322在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票600322在申万行业分类下的二级行业是房地产开发。,"[('房地产开发',)]"
116,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,休闲服务一级行业中, 代码为多少的股票的日均收益率最高？",在2019年，申万行业分类行业划分标准，休闲服务一级行业中，代码为603869的股票的日均收益率最高，为0.271%。,"[('603869', 0.2705459417942198)]"
117,"请帮我查询在2020年,泓德基金管理有限公司成立哪种类型的基金个数最多?","在2020年,泓德基金管理有限公司成立混合型的基金个数最多。","[('混合型',)]"
118,请查询在20211125日期，中信行业分类下机械一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20211125日期，中信行业分类下机械一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是688169。,"[('688169',)]"
119,20190419日，请给出浦银安盛盛勤3个月定期开放债券C基金的管理人和累计单位净值。,20190419日，浦银安盛盛勤3个月定期开放债券C基金的管理人是浦银安盛基金管理有限公司，累计单位净值是1.0549元。,"[('浦银安盛基金管理有限公司', 1.0549)]"
120,帮我查一下在2021年，代码为600571的A股股票今开盘高于昨收盘的天数？,在2021年，代码为600571的A股股票今开盘高于昨收盘的天数是68天。,"[(68,)]"
121,在2010年，东莞勤上光电股份有限公司在户外半导体照明领域的市场占有率为多少？,N_A,N_A
122,在2019年12月年报(含半年报)中，诺安精选价值混合基金持有市值最多的前10只股票中，所在证券市场是中国香港证券交易所的有几个？,在2019年12月年报(含半年报)中，诺安精选价值混合基金持有市值最多的前10只股票中，所在证券市场是中国香港证券交易所的有4个。,"[(4,)]"
123,在20200424，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,在20200424，按照申万行业分类的行业划分标准，机械设备的一级行业的A股公司数量最多，为534家。,"[('机械设备', 534)]"
124,"请查询：2021年12月年报(含半年报),持有20铜陵有色MTN001且是前10大重仓股的基金有几个？","请查询：2021年12月年报(含半年报),持有20铜陵有色MTN001且是前10大重仓股的基金有3个。","[(3,)]"
125,报告期内，汉嘉设计集团股份有限公司期末应收账款相对较高的原因是什么？,N_A,N_A
126,上海真兰仪表科技股份有限公司2020年增资后的投后估值是多少？,N_A,N_A
127,请帮我计算，在20190128，申万行业分类划分的一级行业为食品饮料行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20190128，申万行业分类划分的一级行业为食品饮料行业中，涨跌幅最大股票的股票代码是002946，涨跌幅是10.06%。,"[('002946', 10.063694267515935)]"
128,请帮我计算，在20200521，申万行业分类划分的一级行业为采掘行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20200521，申万行业分类划分的一级行业为采掘行业中，涨跌幅最大股票的股票代码是000655，涨跌幅是4.81%。,"[('000655', 4.81481481481481)]"
129,截至2020年12月31日，湖南长远锂科股份有限公司的控股股东是谁？通过何种方式持有公司多少股权？,N_A,N_A
130,广发稳健增长C基金在20200930的季报里，前三大持仓占比的债券名称是什么?,广发稳健增长C基金在20200930的季报里，前三大持仓占比的债券名称是19国开02，18国开12和18农发12。,"[('19国开02',), ('18国开12',), ('18农发12',)]"
131,深圳市铁汉生态环境股份有限公司的主营业务是什么？,N_A,N_A
132,深圳市超频三科技股份有限公司生产产品所需的主要直接材料有哪些？,N_A,N_A
133,报告期内，确成硅化学股份有限公司对外销售的部分硫酸产品是什么规格？,N_A,N_A
134,森赫电梯股份有限公司与哪些高等教育机构开展合作？,N_A,N_A
135,西安启源机电装备股份有限公司董事是谁？,N_A,N_A
136,2017年1-6月，大博医疗科技股份有限公司向前10名客户的销售额合计占当期营业收入的比例是多少？,N_A,N_A
137,20201014港股下跌的股票家数有多少家?,20201014港股下跌的股票家数有1487家。,"[(1487,)]"
138,在20211030，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,在20211030，按照申万行业分类的行业划分标准，机械设备的一级行业的A股公司数量最多，为540家。,"[('机械设备', 540)]"
139,在2021年的年度报告里，博道基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,在2021年的年度报告里，博道基金管理有限公司管理的基金中，有43.48%的比例的基金是个人投资者持有的份额超过机构投资者。,"[(43.48,)]"
140,南京中电联环保股份有限公司的经营范围是？,N_A,N_A
