问题id,问题,FA,SQL结果
289,请帮我计算，在20210719，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20210719，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是300338，涨跌幅是8.73%。,"[('300338', 8.728652751423168)]"
290,2015年度和2016年度，深圳市超频三科技股份有限公司营业收入分别同比变动多少？,N_A,N_A
291,"帮我算一下在20190408,代码为00326的港股日价格振幅是多少，小数点后保留不超过3位。",在20190408，代码为00326的港股日价格振幅是0.020元。,"[(0.02,)]"
292,报告期内，山东海看网络科技有限公司主营业务是什么？,N_A,N_A
293,根据招股意向书，2015年国家下调天然气价格后，对大连派思燃气系统股份有限公司未来经营活动的影响是什么？,N_A,N_A
294,青海互助青稞酒股份有限公司的实际控制人是谁？共有几人？,N_A,N_A
295,20201211港股下跌的股票家数有多少家?,20201211港股下跌的股票家数有1260家。,"[(1260,)]"
296,帮我查一下诺德短债债券C基金在20200331的资产净值和单位净值是多少?,诺德短债债券C基金在20200331的资产净值是100788.34元，单位净值是1.0304元。,"[(100788.34, 1.0304, '诺德短债债券C')]"
297,广发聚荣一年持有期混合C基金在20211231的季报里，前三大持仓占比的债券名称是什么?,广发聚荣一年持有期混合C基金在20211231的季报里，前三大持仓占比的债券名称是19赣州城投MTN001，21长沙高新MTN001A和21浙商银行永续债。,"[('19赣州城投MTN001',), ('21长沙高新MTN001A',), ('21浙商银行永续债',)]"
298,请问2019年二季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,2019年二季度有250家基金是净申购，它们的净申购份额加起来是40784212401.97份。,"[(250, 40784212401.97)]"
299,"我想了解平安估值精选混合C基金,在2020年三季度的季报第5大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",在2020年三季度的季报中，平安估值精选混合C基金的第5大重仓股的简称是恒生电子，股票代码代码为600570。该股票当季度涨跌幅为-8.46%,"[('600570', '恒生电子', -8.458681522748378)]"
300,我想知道在20211231的季报里，中信保诚红利精选混合C投资的股票分别是哪些申万一级行业？,在20211231的季报里，中信保诚红利精选混合C投资的股票分别属于以下申万一级行业：电子，轻工制造，机械设备，公用事业，房地产，化工，银行，医药生物，农林牧渔，电气设备，家用电器，汽车，非银金融，有色金属，建筑装饰，国防军工，交通运输，商业贸易，采掘，建筑材料，纺织服装，食品饮料，休闲服务，钢铁，计算机，传媒。,"[('电子',), ('轻工制造',), ('机械设备',), ('公用事业',), ('房地产',), ('化工',), ('银行',), ('医药生物',), ('农林牧渔',), ('电气设备',), ('家用电器',), ('汽车',), ('非银金融',), ('有色金属',), ('建筑装饰',), ('国防军工',), ('交通运输',), ('商业贸易',), ('采掘',), ('建筑材料',), ('纺织服装',), ('食品饮料',), ('休闲服务',), ('钢铁',)"
301,2021年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2021年二季度，共有2354家基金发生了净赎回，总共赎回了361411252772.73份。,"[(2354, 361411252772.73)]"
302,广州中海达卫星导航技术股份有限公司的国内营销网络有多少个办事处和几家分公司？多少营销服务人员？,N_A,N_A
303,根据东莞勤上光电股份有限公司招股意向书，全球率先整体用LED路灯替换传统路灯的案例是？,N_A,N_A
304,中国铁路通信信号股份有限公司本次发行前总股本为多少？本次发行后本公司总股本为多少？,N_A,N_A
305,什么公司、在何时与浙江双飞无油轴承股份有限公司发生了产品争议事项？产品争议事项是否已经解决？,N_A,N_A
306,深圳信立泰药业股份有限公司本次募集资金项目拟投资总额为多少？,N_A,N_A
307,在2021年12月年报(含半年报)中，宝盈龙头优选股票A基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有几个？,在2021年12月年报(含半年报)中，宝盈龙头优选股票A基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有4个。,"[(4,)]"
308,请查询在20200623日期，中信行业分类下汽车一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20200623日期，中信行业分类下汽车一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是002594。,"[('002594',)]"
309,我想知道海富通基金管理有限公司在2020年成立了多少只管理费率小于0.8%的基金？,海富通基金管理有限公司在2020年成立了9只管理费率小于0.8%的基金。,"[(9,)]"
310,在2020年12月30日，使用中信行业分类标准，股票代码002319是属于哪个一级行业的?,在2020年12月30日，使用中信行业分类标准，股票代码002319属于基础化工一级行业。,"[('基础化工',)]"
311,请问在休闲服务行业，20190119行业的A股公司有多少?,在休闲服务行业，20190119行业的A股公司有42家。,"[(42,)]"
312,森赫电梯股份有限公司获得多少项国内专利？其中有多上项发明专利？,N_A,N_A
313,股票688200在20200227日期中的收盘价是多少?（小数点保留3位）,股票688200在20200227日期中的收盘价是267.980元。,"[(267.98,)]"
314,江苏爱康太阳能科技股份有限公司注册资本是多少？,N_A,N_A
315,2020年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2020年三季度，共有1554家基金发生了净赎回，总共赎回了506903141085.08份。,"[(1554, 506903141085.08)]"
316,常熟风范电力设备股份有限公司在报告期内的资产总额及逐年变化趋势如何？,N_A,N_A
317,在2019年12月季报中，持有中国移动这一股票且市值占基金资产净值比不小于5%的有几只基金？,在2019年12月季报中，持有中国移动这一股票且市值占基金资产净值比不小于5%的有6只基金。,"[(6,)]"
318,新疆浩源天然气股份有限公司的主要业务是什么？,N_A,N_A
319,帮我查一下南方景气驱动混合A基金在20211213的资产净值和单位净值是多少?,南方景气驱动混合A基金在20211213的资产净值是3356847033.12元，单位净值是0.9794元。,"[(3356847033.12, 0.9794, '南方景气驱动混合A')]"
320,大连派思燃气系统股份有限公司在何时获得美国GE公司的合格供应商认证？,N_A,N_A
321,2020年中期报告里，国泰基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,N_A,N_A
322,青海互助青稞酒股份有限公司报告期内面临的最重要风险因素是什么？,N_A,N_A
323,我想知道申万菱信量化对冲策略灵活配置混合基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,用中信一级行业统计，申万菱信量化对冲策略灵活配置混合基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
324,截至2016年6月30日，华达汽车科技股份有限公司及子公司共有技术研发人员多少人？技术研发人占员工总人数的多大比例？,N_A,N_A
325,"请帮我查询下在2021年, 嘉实基金管理有限公司管理的债券型基金中，持有过可交换公司债券的基金有多少只？",在2021年，嘉实基金管理有限公司管理的债券型基金中，持有过可交换公司债券的基金有1只。,"[(1,)]"
326,我想知道海富通安益对冲策略灵活配置混合C基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,用中信一级行业统计，海富通安益对冲策略灵活配置混合C基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是基础化工行业。,"[('基础化工',)]"
327,我想知道国泰民福策略价值灵活配置混合A基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,用中信一级行业统计，国泰民福策略价值灵活配置混合A基金在20200630的年报(含半年报)中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
328,2007年度、2008年度、2009年度，杭州中恒电气股份有限公司的加权平均净资产收益率分别是多少？,N_A,N_A
329,请问在钢铁行业，20190223行业的A股公司有多少?,在钢铁行业，20190223行业的A股公司有54家。,"[(54,)]"
330,"请帮我查询在2019年,北信瑞丰基金管理有限公司成立哪种类型的基金个数最多?","在2019年,北信瑞丰基金管理有限公司成立混合型的基金个数最多。","[('混合型',)]"
331,20210407日，请给出申万菱信安泰瑞利中短债债券C基金的管理人和累计单位净值。,20210407日，请给出申万菱信安泰瑞利中短债债券C基金的管理人是申万菱信基金管理有限公司，累计单位净值是1.0449元。,"[('申万菱信基金管理有限公司', 1.0449)]"
332,森赫电梯股份有限公司产品的材料成本占整梯生产成本的多大比例？,N_A,N_A
333,2007年、2008年、2009年、2010年1-6月，南京中电联环保股份有限公司收到的增值税返还分别为多少？,N_A,N_A
334,确成硅化学股份有限公司生产的沉淀法二氧化硅广泛应用于哪些行业？其中对哪个行业的依赖度大？,N_A,N_A
335,我想知道股票688266在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票688266在申万行业分类下的二级行业是化学制药。,"[('化学制药',)]"
336,截至2009年12月31日，杭州中恒电气股份有限公司具有大、中专以上学历员工占员工总数的比例是多少？,N_A,N_A
337,我想知道银华科技创新混合基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年年度报告中，银华科技创新混合基金的前10大重仓股中有6只股票在报告期内取得正收益。,"[(6,)]"
338,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，申万行业分类行业划分标准,房地产一级行业中, 代码为多少的股票的日均收益率最高？",在2019年，申万行业分类行业划分标准，房地产一级行业中，代码为601512的股票的日均收益率最高，为5.585%。,"[('601512', 5.584719345380768)]"
339,"我想了解长信沪深300指数增强A基金,在2019年一季度的季报第3大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",在2019年一季度的季报中，长信沪深300指数增强A基金的第3大重仓股的简称是中国平安，股票代码代码为601318。该股票当季度涨跌幅为37.43%。,"[('601318', '中国平安', 37.4331550802139)]"
340,我想知道股票601615在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票601615在申万行业分类下的二级行业是电源设备。,"[('电源设备',)]"
341,我想知道股票300066在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票300066在申万行业分类下的二级行业是仪器仪表。,"[('仪器仪表',)]"
342,深圳市铁汉生态环境股份有限公司所在的生态环境建设行业涉及的两个领域是什么？,N_A,N_A
343,山东海看网络科技有限公司的IPTV业务功能包括哪些？,N_A,N_A
344,我想知道2019年的中期报告中，机构投资者持有的份额占比超过75%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,2019年的中期报告中，机构投资者持有的份额占比超过75%的基金有220只，他们总共持有了408101587539.20份。,"[(220, 408101587539.2)]"
345,在2020年12月年报(含半年报)中，宝盈祥裕增强回报混合C基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有几个？,在2020年12月年报(含半年报)中，宝盈祥裕增强回报混合C基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有0个。,"[(0,)]"
346,杭州中恒电气股份有限公司计划在项目建设期增加多少固定资产投资？,N_A,N_A
347,湖南长远锂科股份有限公司公司的生产成本包括哪些部分？,N_A,N_A
348,深圳信立泰药业股份有限公司的英文名称是？,N_A,N_A
349,在2021年12月年报(含半年报)中，博时鑫荣稳健混合C基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有几个？,在2021年12月年报(含半年报)中，博时鑫荣稳健混合C基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有0个。,"[(0,)]"
350,华达汽车科技股份有限公司的主营业务是什么？,N_A,N_A
351,2020年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2020年二季度，共有1438家基金发生了净赎回，总共赎回了397322181421.12份。,"[(1438, 397322181421.12)]"
352,请问股票代码为002158的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,股票代码为002158的股票在2021年内日成交量低于该股票当年平均日成交量的有161个交易日。,"[(161,)]"
353,云南沃森生物技术股份有限公司创始人的研发资质如何？,N_A,N_A
354,读者出版传媒股份有限公司每年与各印刷厂签订的《读者》印刷协议中，2014年度的含税基本印刷单价是多少？,N_A,N_A
355,浙江双飞无油轴承股份有限公司的主要原材料是什么？,N_A,N_A
356,查询下基金代码167507的基金，它的基金类型是？,基金代码为167507的基金的基金类型是股票型。,"[('股票型',)]"
357,浙江开尔新材料股份有限公司和合肥翰林是否按规定为员工缴纳了社会保险？,N_A,N_A
358,对湖南国科微电子股份有限公司持续盈利能力可能产生重大不利影响的因素主要包括哪些？,N_A,N_A
359,在2019年报中，汇添富中证长三角一体化发展主题ETF联接A基金第八大重仓股的代码和股票名称是什么？,在2019年报中，汇添富中证长三角一体化发展主题ETF联接A基金第八大重仓股的代码是002142，股票名称是宁波银行。,"[('002142', '宁波银行')]"
360,在2019年报中，东方红睿华沪港深灵活配置混合(LOF)A基金第六大重仓股的代码和股票名称是什么？,在2019年报中，东方红睿华沪港深灵活配置混合(LOF)A基金第六大重仓股的代码是002027，股票名称是分众传媒。,"[('002027', '分众传媒')]"
361,请查询：在20210611，属于申万二级一般零售行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20210611，属于申万二级一般零售行业的A股股票，它们的平均成交金额是57267641.71429元。,"[(57267641.71429,)]"
362,请问股票代码为002771的股票在2021年内日成交量低于该股票当年平均日成交量的有多少个交易日？,股票代码为002771的股票在2021年内日成交量低于该股票当年平均日成交量的有148个交易日。,"[(148,)]"
363,"帮我算一下在20190114,代码为00080的港股日价格振幅是多少，小数点后保留不超过3位。",在20190114，代码为00080的港股日价格振幅是0.001元。,"[(0.001,)]"
364,"帮我算一下在20201222,代码为02198的港股日价格振幅是多少，小数点后保留不超过3位。",在20201222，代码为02198的港股日价格振幅是0.080元。,"[(0.08,)]"
365,报告期内，南京中电联环保股份有限公司流动比率、速动比率呈什么趋势？公司资产流动性水平如何？所面临的流动性风险水平如何？,N_A,N_A
366,在2021年报中，平安安享灵活配置混合C基金第八大重仓股的代码和股票名称是什么？,在2021年报中，平安安享灵活配置混合C基金第八大重仓股的代码是002475，股票名称是立讯精密。,"[('002475', '立讯精密')]"
367,为什么广东银禧科技股份有限公司核心技术大部分为非专利技术？,N_A,N_A
368,股票600757在20200915日期中的收盘价是多少?（小数点保留3位）,股票600757在20200915日期中的收盘价是5.690元。,"[(5.69,)]"
369,请帮我计算，在20190312，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20190312，中信行业分类划分的一级行业为消费者服务行业中，涨跌幅最大股票的股票代码是000524，涨跌幅是3.87%。,"[('000524', 3.870967741935493)]"
370,深圳市超频三科技股份有限公司主要采购哪些原材料？,N_A,N_A
371,2019年1-6月，浙江双飞无油轴承股份有限公司向前五大供应商采购原材料金额占同期采购总额的比例是多少？,N_A,N_A
372,我想知道股票600887在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票600887在申万行业分类下的二级行业是食品加工。,"[('食品加工',)]"
373,招商基金管理有限公司管理的其他型产品的数量有多少?,招商基金管理有限公司管理的其他型产品的数量是3只。,"[(3,)]"
374,"帮我算一下在20190502,代码为00292的港股日价格振幅是多少，小数点后保留不超过3位。",在20190502，代码为00292的港股日价格振幅是0.030元。,"[(0.03,)]"
375,我想知道股票300555在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票300555在申万行业分类下的二级行业是通信设备。,"[('通信设备',)]"
376,读者出版传媒股份有限公司期刊、图书出版业的产业链主要包括哪些环节？,N_A,N_A
377,"我想了解红土创新稳健混合C基金,在2020年二季度的季报第1大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",在2020年二季度的季报中，红土创新稳健混合C基金的第1大重仓股的简称是长江电力，股票代码代码为600900。该股票当季度涨跌幅为9.54%,"[('600900', '长江电力', 9.54)]"
378,青海互助青稞酒股份有限公司设置哪些部门？,N_A,N_A
379,在2020年2月25日，使用中信行业分类标准，股票代码688012是属于哪个一级行业的?,在2020年2月25日，使用中信行业分类标准，股票代码688012属于电子一级行业。,"[('电子',)]"
380,我想知道2021年的年度报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,2021年的年度报告中，机构投资者持有的份额占比超过30%的基金有1904只，他们总共持有了2881400667603.12份。,"[(1904, 2881400667603.12)]"
381,我想知道国泰金鹿混合在2020年Q1的季报中，该基金的第2大重仓股的代码是什么?,国泰金鹿混合在2020年Q1的季报中，该基金的第2大重仓股的代码是601668，股票简称是中国建筑。,"[('601668', '中国建筑')]"
382,宁波立立电子股份有限公司募集资金的6－8英寸硅抛光片扩产项目建设工期预计为几年？,N_A,N_A
383,"请帮我查询在2019年,富荣基金管理有限公司成立哪种类型的基金个数最多?","在2019年,富荣基金管理有限公司成立的股票型基金个数最多。","[('股票型',)]"
384,博时基金管理有限公司2019年成立了多少基金?,博时基金管理有限公司2019年成立了43只基金。,"[(43,)]"
385,常熟风范电力设备股份有限公司主要客户的收款周期和发生坏帐的可能性如何？,N_A,N_A
386,在2021年10月15日，使用中信行业分类标准，股票代码000828是属于哪个一级行业的?,在2021年10月15日，使用中信行业分类标准，股票代码000828属于交通运输一级行业。,"[('交通运输',)]"
387,我想知道华安汇嘉精选混合C在2020年Q4的季报中，该基金的第3大重仓股的代码是什么?,华安汇嘉精选混合C在2020年Q4的季报中，该基金的第3大重仓股的代码是601012，股票简称是隆基绿能。,"[('601012', '隆基绿能')]"
388,20210618日，一级行业为基础化工的股票的成交量合计是多少？取整。,20210618日，一级行业为基础化工的股票的成交量合计是4596648865股。,"[(4596648865.0,)]"
389,东莞勤上光电股份有限公司建立的LED照明产品系列包括哪些？,N_A,N_A
390,请查询在2021年度，688728股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2021年度，688728股票涨停天数是2天。,"[(2,)]"
391,请帮我查询出20210506日，建筑材料一级行业涨幅超过5%（不包含）的股票数量。,20210506日，建筑材料一级行业涨幅超过5%（不包含）的股票数量为2。,"[(2,)]"
392,"我想了解易方达稳健收益债券C基金,在2021年二季度的季报第5大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",在2021年二季度的季报中，易方达稳健收益债券C基金的第5大重仓股的简称是三安光电，股票代码代码为600703。该股票当季度涨跌幅为37.67%。,"[('600703', '三安光电', 37.67)]"
393,我想知道兴全安泰平衡养老目标三年持有期混合(FOF)A基金在20190331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，兴全安泰平衡养老目标三年持有期混合(FOF)A基金在20190331的季报中，其可转债持仓占比最大的是电气设备行业。,"[('电气设备',)]"
394,我想知道东方红品质优选两年定期开放混合基金，在2021年半年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年半年度报告中，东方红品质优选两年定期开放混合基金的前10大重仓股中有4只股票在报告期内取得正收益。,"[(4,)]"
395,我想知道在2021年，摩根基金管理(中国)有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2021年，摩根基金管理(中国)有限公司已发行的基金中，有7只基金报告期期初基金总份额小于报告期期末基金总份额。,"[(7,)]"
396,请查询在2021年度，600373股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2021年度，600373股票涨停天数是1天。,"[(1,)]"
397,我想知道在2020年，广发基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2020年，广发基金管理有限公司已发行的基金中，有53只基金报告期期初基金总份额小于报告期期末基金总份额。,"[(53,)]"
398,在采购端，上海真兰仪表科技股份有限公司与中国科学院控股有限公司下属成都中科唯实仪器有限责任公司设立的公司是什么？公司持股多大比例？,N_A,N_A
399,报告期内，宁波立立电子股份有限公司硅抛光片产品2005年毛利率稍低的主要原因是什么？,N_A,N_A
400,宁波立立电子股份有限公司企业所得税的法定税率是多少？,N_A,N_A
401,报告期内，湖南国科微电子股份有限公司的主营业务收入主要来源于什么产品？,N_A,N_A
402,我想知道股票601086在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票601086在申万行业分类下的二级行业是电器机械及器材制造业。,"[('一般零售',)]"
403,请帮我查询下，在2019年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,在2019年09月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是华宝中证科技龙头ETF，差额为4689000000.0份。,"[('华宝中证科技龙头ETF', 4689000000.0)]"
404,2008年度、2009年度深圳市铁汉生态环境股份有限公司园林绿化工程收入的增长率分别为多少？,N_A,N_A
405,请帮我计算，在20190114，中信行业分类划分的一级行业为建材行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20190114，中信行业分类划分的一级行业为建材行业中，涨跌幅最大股票的股票代码是002192，涨跌幅是6.08%。,"[('002192', 6.084656084656096)]"
406,请问在机械设备行业，20190508行业的A股公司有多少?,在机械设备行业，20190508行业的A股公司有536家。,"[(536,)]"
407,我想知道国寿安保基金管理有限公司在2020年成立了多少只管理费率小于0.8%的基金？,国寿安保基金管理有限公司在2020年成立了20只管理费率小于0.8%的基金。,"[(20,)]"
408,20200722日，一级行业为化工的股票的成交金额合计是多少？取整。,20200722日，一级行业为化工的股票的成交金额合计是66214354046元。,"[(66214354046.0,)]"
409,博时基金管理有限公司管理的债券型产品的数量有多少?,博时基金管理有限公司管理的债券型产品的数量是50只。,"[(50,)]"
410,请列出工银瑞信基金管理有限公司在2019年成立并且托管人为平安银行股份有限公司的所有基金的基金托管费率的平均数。,工银瑞信基金管理有限公司在2019年成立并且托管人为平安银行股份有限公司的所有基金的基金托管费率的平均数是0.1%。,"[(0.1,)]"
411,20211229日，请给出工银瑞信消费行业股票A基金的管理人和累计单位净值。,20211229日，请给出工银瑞信消费行业股票A基金的管理人是工银瑞信基金管理有限公司，累计单位净值是1.493元。,"[('工银瑞信基金管理有限公司', 1.493)]"
412,20190318日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,20190318日，开盘价较上一交易日最高价高的股票有516只。,"[(516,)]"
413,"请查询：2021年12月年报(含半年报),持有21昆山农商二级且是前10大重仓股的基金有几个？","请查询：2021年12月年报(含半年报),持有21昆山农商二级且是前10大重仓股的基金有2个。","[(2,)]"
414,"请帮我查询下，在20211117，申万行业分类里一级行业为商业贸易行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","在20211117，申万行业分类里一级行业为商业贸易行业的所有股票里, 成交金额(元)最多的股票的代码是000829，成交金额是1027041215.0元。","[('000829', 1027041215.0)]"
415,嘉实基金管理有限公司管理的混合型产品的数量有多少?,嘉实基金管理有限公司管理的混合型产品的数量是38只。,"[(38,)]"
416,烟台杰瑞石油服务集团股份有限公司所属行业在产品销售和服务的地点上体现出怎样的区域性特征？,N_A,N_A
417,招商基金管理有限公司2019年成立了多少基金?,招商基金管理有限公司2019年成立了36只基金。,"[(36,)]"
418,江苏旷达汽车织物集团股份有限公司的营业收入主要包括哪些？,N_A,N_A
419,海富通稳健养老目标一年持有期混合(FOF)A基金在20210331的季报里，前三大持仓占比的债券名称是什么?,海富通稳健养老目标一年持有期混合(FOF)A基金在20210331的季报里，前三大持仓占比的债券名称是20国债10，20国债15和19国债03。,"[('20国债10',), ('20国债15',), ('19国债03',)]"
420,请列出汇添富基金管理股份有限公司在2020年成立并且托管人为中国农业银行股份有限公司的所有基金的基金托管费率的平均数。,汇添富基金管理股份有限公司在2020年成立并且托管人为中国农业银行股份有限公司的所有基金的基金托管费率的平均数是0.15%。,"[(0.15,)]"
421,华达汽车科技股份有限公司的实际控制人是谁？截至本招股意向书签署日，公司实际控制人控制本公司多大比例的股份。,N_A,N_A
422,在2020年6月7日，使用中信行业分类标准，股票代码002162是属于哪个一级行业的?,在2020年6月7日，使用中信行业分类标准，股票代码002162属于建材一级行业。,"[('建材',)]"
423,常熟风范电力设备股份有限公司在国际市场上的主要合作伙伴有哪些？,N_A,N_A
424,读者出版传媒股份有限公司本次发行前各股东间的关联关系情况如何？,N_A,N_A
425,中国铁路通信信号股份有限公司本次上市选择的标准为预计市值不低于人民币多少？最近一年营业收入不低于人民币多少？,N_A,N_A
