问题id,问题,FA,SQL结果
426,"在20211231的年报(含半年报)中，泰康长江经济带债券A基金的债券持仓,其持有最大仓位的债券类型是什么?","在20211231的年报(含半年报)中，泰康长江经济带债券A基金的债券持仓,其持有最大仓位的债券类型是金融债券。","[('金融债券',)]"
427,在2020年报中，方正富邦沪深300ETF基金第一大重仓股的代码和股票名称是什么？,在2020年报中，方正富邦沪深300ETF基金第一大重仓股的代码是600519，股票名称是贵州茅台。,"[('600519', '贵州茅台')]"
428,股票002648在20210803日期中的收盘价是多少?（小数点保留3位）,股票002648在20210803日期中的收盘价是39.950元。,"[(39.95,)]"
429,南方基金管理股份有限公司2020年成立了多少基金?,南方基金管理股份有限公司2020年成立了79只基金。,"[(79,)]"
430,烟台杰瑞石油服务集团股份有限公司的战略规划是什么？,N_A,N_A
431,"在20211231的年报(含半年报)中，广发资管乾利一年持有期债券A基金的债券持仓,其持有最大仓位的债券类型是什么?","在20211231的年报(含半年报)中，广发资管乾利一年持有期债券A基金的债券持仓,其持有最大仓位的债券类型是可转换债券。","[('可转换债券',)]"
432,请列出华宝基金管理有限公司在2019年成立并且托管人为中国民生银行股份有限公司的所有基金的基金托管费率的平均数。,华宝基金管理有限公司在2019年成立并且托管人为中国民生银行股份有限公司的所有基金的基金托管费率的平均数是0.1%。,"[(0.1,)]"
433,我想知道股票000060在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票000060在申万行业分类下的二级行业是工业金属。,"[('工业金属',)]"
434,请帮我查询下，在2019年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是什么？差额有多少？保留两位小数。,在2019年03月的报告中，报告期基金总申购份额和报告期基金总赎回份额差额最大的一只基金的简称是华夏鼎略债券A，差额为4504188854.73份。,"[('华夏鼎略债券A', 4504188854.73)]"
435,20201116日，一级行业为电气设备的股票的成交金额合计是多少？取整。,20201116日，一级行业为电气设备的股票的成交金额合计是44464783989元。,"[(44464783989.0,)]"
436,根据森赫电梯股份有限公司招股意见书，目前国内电梯市场中，外资品牌和国内电梯品牌各占多少份额？,N_A,N_A
437,根据《CRCC产品认证实施规则》，《铁路产品认证证书》有效期为多久？北京天宜上佳高新材料股份有限公司取得 《铁路产品认证证书》后，至少多久需要接受一次监督？,N_A,N_A
438,2019年1-6月浙江双飞无油轴承股份有限公司经营业绩出现下滑的原因是什么？,N_A,N_A
439,"我想了解一下金鹰基金管理有限公司2019年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",金鹰基金管理有限公司2019年成立的债券型基金，其管理费率的平均值是0.43%。,"[(0.43,)]"
440,2019年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2019年一季度，共有274家基金发生了净赎回，总共赎回了55689213867.09份。,"[(274, 55689213867.09)]"
441,请问在基础化工行业，20201215行业的A股公司有多少?,在基础化工行业，20201215行业的A股公司有425家。,"[(425,)]"
442,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，中信行业分类行业划分标准,电力及公用事业一级行业中, 代码为多少的股票的日均收益率最高？",在2019年，中信行业分类行业划分标准，电力及公用事业一级行业中，代码为603053的股票的日均收益率最高，为6.556%。,"[('603053', 6.555877572497915)]"
443,"在20210630的年报(含半年报)中，鹏华可转债债券C基金的债券持仓,其持有最大仓位的债券类型是什么?","在20210630的年报(含半年报)中，鹏华可转债债券C基金的债券持仓,其持有最大仓位的债券类型是可转换债券。","[('可转换债券',)]"
444,"请帮我查询下，在20200617，中信行业分类里一级行业为钢铁行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","在20200617，中信行业分类里一级行业为钢铁行业的所有股票里, 成交金额(元)最多的股票的代码是600282，成交金额是1766049991.0元。","[('600282', 1766049991.0)]"
445,嘉实基金管理有限公司2020年成立了多少基金?,嘉实基金管理有限公司2020年成立了49只基金。,"[(49,)]"
446,20190812日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,20190812日，开盘价较上一交易日最高价高的股票有71只。,"[(71,)]"
447,深圳市超频三科技股份有限公司现有核心技术人员几名？是谁？,N_A,N_A
448,我想知道在20211231的季报里，鹏扬添利增强债券A投资的股票分别是哪些申万一级行业？,在20211231的季报里，鹏扬添利增强债券A投资的股票分别属于以下申万一级行业：钢铁，非银金融，银行，电子，机械设备，公用事业，食品饮料，医药生物，国防军工，计算机，轻工制造，家用电器，建筑材料，化工，电气设备，汽车，有色金属，综合，休闲服务。,"[('钢铁',), ('非银金融',), ('银行',), ('电子',), ('机械设备',), ('公用事业',), ('食品饮料',), ('医药生物',), ('国防军工',), ('计算机',), ('轻工制造',), ('家用电器',), ('建筑材料',), ('化工',), ('电气设备',), ('汽车',), ('有色金属',), ('综合',), ('休闲服务',)]"
449,湖南南岭民用爆破器材股份有限公司主要业务是什么？,N_A,N_A
450,"帮我算一下在20200617,代码为00878的港股日价格振幅是多少，小数点后保留不超过3位。",在20200617，代码为00878的港股日价格振幅是0.090元。,"[(0.09,)]"
451,华瑞股份第二次股权转让引入的外部投资者是？,N_A,N_A
452,大成景乐纯债债券C基金在20210331的季报里，前三大持仓占比的债券名称是什么?,大成景乐纯债债券C基金在20210331的季报里，前三大持仓占比的债券名称是20国债10，20国开07和20国开12。,"[('20国债10',), ('20国开07',), ('20国开12',)]"
453,在哪些国家和地区，兰州海默科技股份有限公司必须通过当地公司销售产品和服务？,N_A,N_A
454,请帮我查询出20210719日，农林牧渔一级行业涨幅超过5%（不包含）的股票数量。,20210719日，农林牧渔一级行业涨幅超过5%（不包含）的股票数量为6。,"[(6,)]"
455,"请帮我查询下，在20210319，申万行业分类里一级行业为公用事业行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","在20210319，申万行业分类里一级行业为公用事业行业的所有股票里, 成交金额(元)最多的股票的代码是003035，成交金额是2387414241.0元。","[('003035', 2387414241.0)]"
456,我想知道光大阳光优选一年持有期混合B基金，在2020年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2020年年度报告中，光大阳光优选一年持有期混合B基金的前10大重仓股中有9只股票在报告期内取得正收益。,"[(9,)]"
457,20191231日，请给出西部利得沣泰债券A基金的管理人和单位净值。单位净值保留两位小数。,20191231日，西部利得沣泰债券A基金的管理人是西部利得基金管理有限公司，单位净值是1.0元。,"[('西部利得基金管理有限公司', 1.0)]"
458,截至本招股意向书出具之日，广东银禧科技股份有限公司有多少发明专利正在申请？,N_A,N_A
459,内蒙古君正能源化工股份有限公司的主营产品是什么？,N_A,N_A
460,汉嘉设计集团股份有限公司主要无形资产有哪几类？,N_A,N_A
461,我想知道融通增祥三个月定期开放债券基金在20210630的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,用中信一级行业统计，融通增祥三个月定期开放债券基金在20210630的年报(含半年报)中，其可转债持仓占比最大的是建筑行业。,"[('建筑',)]"
462,20200910港股下跌的股票家数有多少家?,20200910港股下跌的股票家数有1468家。,"[(1468,)]"
463,"请查询：2020年12月年报(含半年报),持有20国际港务SCP012且是前10大重仓股的基金有几个？","2020年12月年报(含半年报),持有20国际港务SCP012且是前10大重仓股的基金有2个。","[(2,)]"
464,自2020年3月20日起，确成硅化学股份有限公司 _产品出口退税率为多少？,N_A,N_A
465,"我想了解一下长城基金管理有限公司2020年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",长城基金管理有限公司2020年成立的债券型基金，其管理费率的平均值是0.19%。,"[(0.19,)]"
466,湖南南岭民用爆破器材股份有限公司取得的有效期是什么？,N_A,N_A
467,海南双成药业股份有限公司使用的“甘美多兰”商标的所有权归哪家公司？商标的授权期限是多久？,N_A,N_A
468,"请帮我查询下，在20190617，申万行业分类里一级行业为建筑材料行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","在20190617，申万行业分类里一级行业为建筑材料行业的所有股票里, 成交金额(元)最多的股票的代码是600585，成交金额是654587772.0元。","[('600585', 654587772.0)]"
469,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有几个。,在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于其他型类型的有62个。,"[(62,)]"
470,我想知道在20210630的季报里，嘉实中证央企创新驱动ETF联接C投资的股票分别是哪些申万一级行业？,在20210630的季报里，嘉实中证央企创新驱动ETF联接C投资的股票分别属于以下申万一级行业：国防军工，化工，建筑材料，通信，纺织服装，电子，采掘，机械设备，公用事业，汽车，钢铁，建筑装饰，有色金属，计算机，医药生物，电气设备，银行。,"[('国防军工',), ('化工',), ('建筑材料',), ('通信',), ('纺织服装',), ('电子',), ('采掘',), ('机械设备',), ('公用事业',), ('汽车',), ('钢铁',), ('建筑装饰',), ('有色金属',), ('计算机',), ('医药生物',), ('电气设备',), ('银行',)]"
471,我想知道长信双利优选混合A基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年年度报告中，长信双利优选混合A基金的前10大重仓股中有3只股票在报告期内取得正收益。,"[(3,)]"
472,西安启源机电装备股份有限公司控股股东是谁？直接持有多少的股份？,N_A,N_A
473,请查询：在20190121，属于申万二级水泥制造行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20190121，属于申万二级水泥制造行业的A股股票，它们的平均成交金额是132516957.35294元。,"[(132516957.35294,)]"
474,请帮我查询在截止2020-12-31的报告期间，基金总份额降低的基金数量是多少？,在截止2020-12-31的报告期间，基金总份额降低的基金数量是2038只。,"[(2038,)]"
475,帮我查询在2020年12月31日，代码为010058的基金前20大重仓股票中属于中信二级饮料行业的平均市值是多少？小数点后保留不超过3位。,在2020年12月31日，代码为010058的基金前20大重仓股票中属于中信二级饮料行业的平均市值是2963916.000元。,"[(2963916.0,)]"
476,截至2010年9月30日，深圳市铁汉生态环境股份有限公司在册员工共多少人？,N_A,N_A
477,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于混合型类型的有几个。,N_A,N_A
478,在2019年的年度报告里，中泰证券(上海)资产管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,在2019年的年度报告里，中泰证券(上海)资产管理有限公司管理的基金中，有83.33%的比例的基金是个人投资者持有的份额超过机构投资者。,"[(83.33,)]"
479,请问在休闲服务行业，20211031行业的A股公司有多少?,在休闲服务行业，20211031行业的A股公司有41家。,"[(41,)]"
480,请查询：在20200518，属于申万二级景点行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20200518，属于申万二级景点行业的A股股票，它们的平均成交金额是31234914.80000元。,"[(31234914.8,)]"
481,20191226日，请给出民生加银聚益纯债债券基金的管理人和累计单位净值。,20191226日，请给出民生加银聚益纯债债券基金的管理人是民生加银基金管理有限公司，累计单位净值是1.0124元。,"[('民生加银基金管理有限公司', 1.0124)]"
482,根据招股意见书，截至评估基准日1996年1月31日止，孙瑞良对宁波华瑞出资的资产市场价值为多少？,N_A,N_A
483,请帮我查询在截止2021-03-31的报告期间，基金总份额降低的基金数量是多少？,在截止2021-03-31的报告期间，基金总份额降低的基金数量是2262只。,"[(2262,)]"
484,珠海健帆生物科技股份有限公司的首席科学家是谁？,N_A,N_A
485,请查询在20201123日期，申万行业分类下食品饮料一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20201123日期，申万行业分类下食品饮料一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是600519。,"[('600519',)]"
486,大连派思燃气系统股份有限公司在2014年度的纳税信用等级是多少？,N_A,N_A
487,请问在有色金属行业，20191121行业的A股公司有多少?,在有色金属行业，20191121行业的A股公司有157家。,"[(157,)]"
488,20200302日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,20200302日，开盘价较上一交易日最高价高的股票有115只。,"[(115,)]"
489,西安启源机电装备股份有限公司主要产品有哪些？,N_A,N_A
490,20210531日，请给出易方达恒利3个月定期开放债券基金的管理人和累计单位净值。,20210531日，请给出易方达恒利3个月定期开放债券基金的管理人是易方达基金管理有限公司，累计单位净值是1.0721元。,"[('易方达基金管理有限公司', 1.0721)]"
491,北京天宜上佳高新材料股份有限公司产品生产所需的主要原料是什么？,N_A,N_A
492,长江安盈中短债六个月定期开放债券基金在20201231的季报里，前三大持仓占比的债券名称是什么?,长江安盈中短债六个月定期开放债券基金在20201231的季报里，前三大持仓占比的债券名称是20进出12，20国开02和17闽电01。,"[('20进出12',), ('20国开02',), ('17闽电01',)]"
493,请帮我查询出20210825日，有色金属一级行业涨幅超过5%（不包含）的股票数量。,20210825日，有色金属一级行业涨幅超过5%（不包含）的股票数量为28。,"[(28,)]"
494,昇兴集团股份有限公司本次发行的保荐人是？,N_A,N_A
495,请查询在20211018日期，中信行业分类下交通运输一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20211018日期，中信行业分类下交通运输一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是603535。,"[('603535',)]"
496,帮我查一下在2020年，代码为300476的A股股票今开盘高于昨收盘的天数？,在2020年，代码为300476的A股股票今开盘高于昨收盘的天数是129天。,"[(129,)]"
497,华富恒欣纯债债券A基金在20210331的季报里，前三大持仓占比的债券名称是什么?,华富恒欣纯债债券A基金在20210331的季报里，前三大持仓占比的债券名称是20国债10，国开1702和18沪国资委MTN001。,"[('20国债10',), ('国开1702',), ('18沪国资MTN001',)]"
498,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有几个。,在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于货币型类型的有2个。,"[(2,)]"
499,嘉实中债1-3年政策性金融债指数C基金在20211231的季报里，前三大持仓占比的债券名称是什么?,嘉实中债1-3年政策性金融债指数C基金在20211231的季报里，前三大持仓占比的债券名称是20国开02，21国开07和21农发清发02。,"[('20国开02',), ('21国开07',), ('21农发清发02',)]"
500,根据大连派思燃气系统股份有限公司招股意向书，目前，世界已探明的天然气储量主要集中在什么地区？天然气消费以哪些地区为主？,N_A,N_A
501,截至2009年底，中海达、南方测绘合计占有国产品牌销售额的多大比例？,N_A,N_A
502,联化科技股份有限公司在2007年第一次临时股东大会上审议并通过了哪些募集资金项目？,N_A,N_A
503,帮我查一下广发瑞安精选股票A基金在20211222的资产净值和单位净值是多少?,广发瑞安精选股票A基金在20211222的资产净值是1076709134.79元，单位净值是1.1646元。,"[(1076709134.79, 1.1646, '广发瑞安精选股票A')]"
504,我想知道工银瑞信双盈债券C基金在20210930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，工银瑞信双盈债券C基金在20210930的季报中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
505,"请帮我查询下，在20190419，申万行业分类里一级行业为轻工制造行业的所有股票里, 成交金额(元)最多的股票的代码是什么？成交金额是多少？","在20190419，申万行业分类里一级行业为轻工制造行业的所有股票里, 成交金额(元)最多的股票的代码是002565，成交金额是2418629627.0元。","[('002565', 2418629627.0)]"
506,景顺长城中短债债券C基金在20210331的季报里，前三大持仓占比的债券名称是什么?,景顺长城中短债债券C基金在20210331的季报里，前三大持仓占比的债券名称是20农发清发01，20国信03和21国开01。,"[('20农发清发01',), ('20国信03',), ('21国开01',)]"
507,我想知道股票600373在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票600373在申万行业分类下的二级行业是互联网传媒。,"[('互联网传媒',)]"
508,"请帮我查询下在2020年, 前海开源基金管理有限公司管理的债券型基金中，持有过非公开发行公司债的基金有多少只？",在2020年，前海开源基金管理有限公司管理的债券型基金中，持有过非公开发行公司债的基金有2只。,"[(2,)]"
509,广州中海达卫星导航技术股份有限公司整体变更前后，股本增加了多少？,N_A,N_A
510,"请查询：2021年12月年报(含半年报),持有20汇金小微债01且是前10大重仓股的基金有几个？","请查询：2021年12月年报(含半年报),持有20汇金小微债01且是前10大重仓股的基金有1个。","[(1,)]"
511,2021年年度报告里，光大保德信基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,N_A,N_A
512,在2021年12月年报(含半年报)中，朱雀企业优选股票A基金持有市值最多的前10只股票中，所在证券市场是深圳证券交易所的有几个？,在2021年12月年报(含半年报)中，朱雀企业优选股票A基金持有市值最多的前10只股票中，所在证券市场是深圳证券交易所的有7个。,"[(7,)]"
513,2007年、2008年、2009年，南京中电联环保股份有限公司存货周转率分别为多少次？,N_A,N_A
514,请帮我查询出20210120日，综合一级行业涨幅超过5%（不包含）的股票数量。,20210120日，综合一级行业涨幅超过5%（不包含）的股票数量为2。,"[(2,)]"
515,根据招股意见书，公司何时整体变更为华瑞电器股份有限公司？,N_A,N_A
516,根据浙江开尔新材料股份有限公司招股意向书，截至2010年末，合肥翰林总资产为多少？,N_A,N_A
517,持有烟台杰瑞石油服务集团股份有限公司5%以上股份的股东有是谁？本次公开发行前，他们持有的股份分别占公司总股本的多少比例？,N_A,N_A
518,在2020年1月30日，使用中信行业分类标准，股票代码600185是属于哪个一级行业的?,在2020年1月30日，使用中信行业分类标准，股票代码600185属于房地产一级行业。,"[('房地产',)]"
519,截至2018年末 ，按照国内高速铁路控制系统集成项目累计中标里程统计，中国铁路通信信号股份有限公司的中标里程覆盖率为多少？,N_A,N_A
520,截至2009年12月31日，杭州中恒电气股份有限公司的净资产是多少？,N_A,N_A
521,请查询在20200731日期，申万行业分类下家用电器一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20200731日期，申万行业分类下家用电器一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是002959。,"[('002959',)]"
522,在2020年的年度报告里，浙江浙商证券资产管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,在2020年的年度报告里，浙江浙商证券资产管理有限公司管理的基金中，有50.00%的比例的基金是个人投资者持有的份额超过机构投资者。,"[(50.0,)]"
523,20191121日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,20191121日，成交金额最大的前三家上市公司的股票代码从大到小分别是601318，000651和600519。,"[('601318',), ('000651',), ('600519',)]"
524,旷达汽车织物集团何时设立股份有限公司，注册资本是多少？,N_A,N_A
525,"我想了解国寿安保灵活优选混合基金,在2021年一季度的季报第6大重股。该持仓股票当个季度的涨跌幅?请四舍五入保留百分比到小数点两位。",在2021年一季度的季报中，国寿安保灵活优选混合基金的第6大重仓股的简称是海康威视，股票代码代码为002415。该股票当季度涨跌幅为15.23%,"[('002415', '海康威视', 15.23)]"
526,新疆浩源天然气股份有限公司实际控制人直系亲属控股的企业有哪些？,N_A,N_A
527,北京天宜上佳高新材料股份有限公司2017年度的营业收入和净利润分别为多少？,N_A,N_A
528,请问股票代码为300300的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,股票代码为300300的股票在2019年内日成交量低于该股票当年平均日成交量的有166个交易日。,"[(166,)]"
529,20190212日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,20190212日，成交金额最大的前三家上市公司的股票代码从大到小分别是600519，000858和000725。,"[('000725',), ('000858',), ('600519',)]"
530,帮我查询在2020年12月31日，代码为007840的基金前20大重仓股票中属于中信二级半导体行业的平均市值是多少？小数点后保留不超过3位。,在2020年12月31日，代码为007840的基金前20大重仓股票中属于中信二级半导体行业的平均市值是92440.000元。,"[(92440.0,)]"
531,武汉兴图新科电子股份有限公司法定代表人是谁？,N_A,N_A
532,请帮我查询下股票代码为600595的股票在2019年内最高日收盘价是多少？,股票代码为600595的股票在2019年内最高日收盘价是3.31元。,"[(3.31,)]"
533,在营销模式方面，云南沃森生物技术股份有限公司如何提高疫苗产品的品牌影响力？,N_A,N_A
534,博时基金管理有限公司2020年成立了多少基金?,博时基金管理有限公司2020年成立了82只基金。,"[(82,)]"
535,我想知道在2021年，格林基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2021年，格林基金管理有限公司已发行的基金中，有5只基金报告期期初基金总份额小于报告期期末基金总份额。,"[(5,)]"
536,我想知道兴银研究精选股票A基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年年度报告中，兴银研究精选股票A基金的前10大重仓股中有5只股票在报告期内取得正收益。,"[(5,)]"
537,20200326日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,20200326日，开盘价较上一交易日最高价高的股票有128只。,"[(128,)]"
538,我想知道在20210630的季报里，招商MSCI中国A股国际通ETF联接C投资的股票分别是哪些申万一级行业？,在20210630的季报里，招商MSCI中国A股国际通ETF联接C投资的股票分别属于以下申万一级行业：化工，汽车，交通运输，家用电器。,"[('化工',), ('汽车',), ('交通运输',), ('家用电器',)]"
539,请帮我计算，在20200617，中信行业分类划分的一级行业为商贸零售行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,在20200617，中信行业分类划分的一级行业为商贸零售行业中，涨跌幅最大股票的股票代码是600824，涨跌幅是10.07%。,"[('600824', 10.070257611241233)]"
540,"请帮我查询在2020年,万家基金管理有限公司成立哪种类型的基金个数最多?","在2020年,万家基金管理有限公司成立混合型的基金个数最多。","[('混合型',)]"
541,烟台杰瑞石油服务集团股份有限公司面临的市场风险有哪些？,N_A,N_A
542,我想知道股票300321在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票300321在申万行业分类下的二级行业是塑料。,"[('塑料',)]"
543,武汉兴图新科电子股份有限公司注册资本是多少？,N_A,N_A
544,华瑞电器股份有限公司成立以来的是否存在重大资产重组？如果存在，该重组是什么？,N_A,N_A
545,5、确成硅化学股份有限公司的子公司确成国际主营业务是什么？,N_A,N_A
546,我想知道红土创新稳进混合C基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,用中信一级行业统计，红土创新稳进混合C基金在20201231的年报(含半年报)中，其可转债持仓占比最大的是电力及公用事业行业。,"[('电力及公用事业',)]"
547,请查询：在2019的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于股票型类型的有几个。,N_A,N_A
548,鑫元悦利定期开放债券基金在20191231的季报里，前三大持仓占比的债券名称是什么?,鑫元悦利定期开放债券基金在20191231的季报里，前三大持仓占比的债券名称是19国开03，19国开08和19国开10。,"[('19国开03',), ('19国开08',), ('19国开10',)]"
549,帮我查一下华商计算机行业量化股票A基金在20211213的资产净值和单位净值是多少?,华商计算机行业量化股票A基金在20211213的资产净值是223466099.94元，单位净值是1.3141元。,"[(223466099.94, 1.3141, '华商计算机行业量化股票A')]"
550,内蒙古君正能源化工股份有限公司控股股东、实际控制人控制的其他企业有哪些？,N_A,N_A
551,"请帮我查询下在2019年, 国联基金管理有限公司管理的债券型基金中，持有过国债现货的基金有多少只？",在2019年，国联基金管理有限公司管理的债券型基金中，持有过国债现货的基金有4只。,"[(4,)]"
552,帮我查一下在2020年，代码为603056的A股股票今开盘高于昨收盘的天数？,在2020年，代码为603056的A股股票今开盘高于昨收盘的天数是120天。,"[(120,)]"
553,中国铁路通信信号股份有限公司本次发行初始战略配售发行数量为多少股？占发行数量的多大比例？,N_A,N_A
554,华达汽车科技股份有限公司近年开发的代表性新产品及新技术有哪些？,N_A,N_A
