问题id,问题,FA,SQL结果
697,截至本招股意向书出具之日，广东银禧科技股份有限公司共拥有多少发明专利？,N_A,N_A
698,"帮我算一下在20190828,代码为08613的港股日价格振幅是多少，小数点后保留不超过3位。",在20190828，代码为08613的港股日价格振幅是0.002元。,"[(0.002,)]"
699,确成硅化学股份有限公司所在地在何处？,N_A,N_A
700,烟台杰瑞石油服务集团股份有限公司的上下游行业是什么？,N_A,N_A
701,内蒙古君正能源化工股份有限公司及其子公司享受的税收优惠政策有哪些？,N_A,N_A
702,昇兴集团股份有限公司的英文名称是？,N_A,N_A
703,北京天宜上佳高新材料股份有限公司在报告期内主要从事什么业务？,N_A,N_A
704,大博医疗科技股份有限公司注册资本是多少？,N_A,N_A
705,湖南长远锂科股份有限公司董事会成员是谁？,N_A,N_A
706,我想知道2020年的中期报告中，机构投资者持有的份额占比超过75%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,2020年的中期报告中，机构投资者持有的份额占比超过75%的基金有800只，他们总共持有了1459905385388.85份。,"[(800, 1459905385388.85)]"
707,20200424日，一级行业为汽车的股票的成交金额合计是多少？取整。,20200424日，一级行业为汽车的股票的成交金额合计是32768262625元。,"[(32768262625.0,)]"
708,民生加银睿智一年定期开放债券基金在20200930的季报里，前三大持仓占比的债券名称是什么?,民生加银睿智一年定期开放债券基金在20200930的季报里，前三大持仓占比的债券名称是20国开05，20国开02和20国开03。,"[('20国开05',), ('20国开02',), ('20国开03',)]"
709,请帮我计算，代码为600510的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,代码为600510的股票，2020年一年持有的年化收益率为0.59%。,"[('600510', 0.59)]"
710,我想知道2020年的中期报告中，机构投资者持有的份额占比超过30%的基金有多少，并且他们总共持有了多少?记得帮我保留两位小数。,2020年的中期报告中，机构投资者持有的份额占比超过30%的基金有1102只，他们总共持有了1514090034027.42份。,"[(1102, 1514090034027.42)]"
711,东莞勤上光电股份有限公司获得多少项国内专利？其中有多少项发明专利？,N_A,N_A
712,南京中电联环保股份有限公司业务范围涉及哪些行业？,N_A,N_A
713,江苏爱康太阳能科技股份有限公司拥有的控股子公司是哪些？,N_A,N_A
714,信澳慧管家货币B基金在20210630的季报里，前三大持仓占比的债券名称是什么?,信澳慧管家货币B基金在20210630的季报里，前三大持仓占比的债券名称是20沪电力SCP025，20北京银行CD082和21交通银行CD123。,"[('20沪电力SCP025',), ('20北京银行CD082',), ('21交通银行CD123',)]"
715,查询下基金代码009250的基金，它的托管人是？,查询下基金代码009250的基金，它的托管人是？,SQL未能成功执行！
716,我想知道招商安元灵活配置混合C基金在20191231的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，招商安元灵活配置混合C基金在20191231的季报中，其可转债持仓占比最大的是传媒行业。,"[('传媒',)]"
717,新疆浩源天然气股份有限公司上、下游企业有哪些？,N_A,N_A
718,我想知道股票301096在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票301096在申万行业分类下的二级行业是医疗服务。,"[('医疗服务',)]"
719,帮我查询在2020年12月31日，代码为009902的基金前20大重仓股票中属于中信二级生物医药Ⅱ行业的平均市值是多少？小数点后保留不超过3位。,在2020年12月31日，代码为009902的基金前20大重仓股票中属于中信二级生物医药Ⅱ行业的平均市值是41389392.000元。,"[(41389392.0,)]"
720,西安启源机电装备股份有限公司上游行业发展状况对本行业制约情况如何？,N_A,N_A
721,2018年度、2019年1～6月浙江双飞无油轴承股份有限公司出口美国收入占当期主营业收入的比例分别为多少？,N_A,N_A
722,在2021年的中期报告里，易方达基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,在2021年的中期报告里，易方达基金管理有限公司管理的基金中，有70.43%的比例的基金是个人投资者持有的份额超过机构投资者。,"[(70.43,)]"
723,2008年度深圳信立泰药业股份有限公司适用税率为多少的减半征收企业所得税的优惠政策？,N_A,N_A
724,湖南国科微电子股份有限公司设计的哪些产品具备较高的性价比，形成了较为明显的领先优势？,N_A,N_A
725,在2021年12月年报(含半年报)中，国泰君安君得鑫两年持有期混合C基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有几个？,在2021年12月年报(含半年报)中，国泰君安君得鑫两年持有期混合C基金持有市值最多的前10只股票中，所在证券市场是上海证券交易所的有5个。,"[(5,)]"
726,读者出版传媒股份有限公司如何应对纸质媒体竞争加剧，消费群体扩张难度加大的经营管理风险？,N_A,N_A
727,2021年中期报告里，西部利得基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,N_A,N_A
728,"我想了解一下兴业基金管理有限公司2020年成立的混合型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。",兴业基金管理有限公司2020年成立的混合型基金，其管理费率的平均值是1.13%。,"[(1.13,)]"
729,截止本招股意向书签署日，持有北京天宜上佳高新材料股份有限公司5%以上股份的主要股东有谁？,N_A,N_A
730,在20201031，按照申万行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,在20201031，按照申万行业分类的行业划分标准，机械设备的一级行业的A股公司数量最多，为531家。,"[('机械设备', 531)]"
731,请查询：在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有几个。,在2021的年度报告中，个人投资者持有基金份额大于机构投资者持有基金份额的基金属于债券型类型的有620个。,"[(620,)]"
732,我想知道易方达裕富债券A基金在20200630的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，易方达裕富债券A基金在20200630的季报中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
733,报告期内，山东海看网络科技有限公司主要收入来源是什么？,N_A,N_A
734,请问在非银金融行业，20190603行业的A股公司有多少?,在非银金融行业，20190603行业的A股公司有80家。,"[(80,)]"
735,在2013年度至2016年度上半年间，华达汽车科技股份有限公司的各年（2016年度为上半年）加权平均净资产收益率（扣除非经常性损益后）分别为多少？,N_A,N_A
736,查询下基金代码007059的基金，它的管理费率是？,基金代码为007059的基金的管理费率为0.8%。,"[('0.8%',)]"
737,大连派思燃气系统股份有限公司拥有哪些制造许可证？,N_A,N_A
738,"请帮我查询下在2019年, 山西证券股份有限公司管理的债券型基金中，持有过公司债券的基金有多少只？",在2019年，山西证券股份有限公司管理的债券型基金中，持有过公司债券的基金有5只。,"[(5,)]"
739,我想知道建信基金管理有限责任公司在2020年成立了多少只管理费率小于0.8%的基金？,建信基金管理有限责任公司在2020年成立了17只管理费率小于0.8%的基金。,"[(17,)]"
740,"请帮我查询下在2020年, 安信基金管理有限责任公司管理的债券型基金中，持有过超短期融资券的基金有多少只？",在2020年，安信基金管理有限责任公司管理的债券型基金中，持有过超短期融资券的基金有2只。,"[(2,)]"
741,"请查询：2019年12月年报(含半年报),持有19农业银行CD207且是前10大重仓股的基金有几个？","2019年12月年报(含半年报),持有19农业银行CD207且是前10大重仓股的基金有5个。","[(5,)]"
742,北京天宜上佳高新材料股份有限公司在生产环节使用的什么物质属于危险化学品？,N_A,N_A
743,请查询在20210301日期，中信行业分类下电子一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,在20210301日期，中信行业分类下电子一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是300782。,"[('300782',)]"
744,2009年度杭州中恒电气股份有限公司室外通信电源系统销售价格较2008年度上涨的主要原因是什么？,N_A,N_A
745,山东海看网络科技有限公司所属行业的主要监管部门是什么？,N_A,N_A
746,南京中电联环保股份有限公司本次发行股数是多少？,N_A,N_A
747,我想知道易方达恒盛3个月定期开放混合基金在20210930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，易方达恒盛3个月定期开放混合基金在20210930的季报中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
748,我想知道汇添富悦享定期开放混合基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,在2021年年度报告中，汇添富悦享定期开放混合基金的前10大重仓股中有8只股票在报告期内取得正收益。,"[(8,)]"
749,我想知道股票300645在申万行业分类下的二级行业是什么？用最新的数据。,根据最新数据，股票300645在申万行业分类下的二级行业是计算机应用。,"[('计算机应用',)]"
750,深圳市铁汉生态环境股份有限公司如何发放劳务公司施工人员的工资？,N_A,N_A
751,"请查询：2020年12月年报(含半年报),持有20交投Y4且是前10大重仓股的基金有几个？","2020年12月年报(含半年报),持有20交投Y4且是前10大重仓股的基金有4个。","[(4,)]"
752,确成硅化学股份有限公司的控股股东是谁？,N_A,N_A
753,20201027日，请给出华安添瑞6个月持有期混合C基金的管理人和累计单位净值。,20201027日，请给出华安添瑞6个月持有期混合C基金的管理人是华安基金管理有限公司，累计单位净值是1.04元。,"[('华安基金管理有限公司', 1.04)]"
754,宁波立立电子股份有限公司募集资金的6－8英寸硅抛光片扩产项目总投资为多少？,N_A,N_A
755,报告期内，珠海健帆生物科技股份有限公司核心技术产品的销售收入分别是多少？,N_A,N_A
756,截至本招股意向书签署日，确成硅化学股份有限公司拥有几家控股子公司？,N_A,N_A
757,报告期内，大博医疗科技股份有限公司主营业务的毛利率是多少？,N_A,N_A
758,我想知道交银施罗德可转债债券C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，交银施罗德可转债债券C基金在20200331的季报中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
759,在2020年12月季报中，持有温氏股份这一股票且市值占基金资产净值比不小于5%的有几只基金？,在2020年12月季报中，持有温氏股份这一股票且市值占基金资产净值比不小于5%的有1只基金。,"[(1,)]"
760,我想知道金鹰鑫益灵活配置混合E基金在20190930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，金鹰鑫益灵活配置混合E基金在20190930的季报中，其可转债持仓占比最大的是传媒行业。,"[('传媒',)]"
761,本次发行前，东莞勤上光电股份有限公司总股本为多少？本次发行的股份约占发行后总股本的比例为多少？,N_A,N_A
762,20211104日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,20211104日，开盘价较上一交易日最高价高的股票有406只。,"[(406,)]"
763,我想知道国泰信用互利债券A基金在20211231的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，国泰信用互利债券A基金在20211231的季报中，其可转债持仓占比最大的是电子行业。,"[('电子',)]"
764,请帮我查询下股票代码为002925的股票在2021年内最高日收盘价是多少？,股票代码为002925的股票在2021年内最高日收盘价是71.99元。,"[(71.99,)]"
765,报告期内，海南双成药业股份有限公司保护氨基酸的采购量怎样变化？产生这样变化的主要原因是什么？,N_A,N_A
766,湖南国科微电子股份有限公司所处行业竞争激烈，什么因素可能对公司的成长性带来不利影响？,N_A,N_A
767,请帮我查询在截止2020-06-30的基金定期报告中，基金总赎回份额为零的基金有几个？,在截止2020-06-30的基金定期报告中，基金总赎回份额为零的基金有546个。,"[(546,)]"
768,请查询在2020年度，300397股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,在2020年度，300397股票涨停天数是8天。,"[(8,)]"
769,请问股票代码为600578的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,股票代码为600578的股票在2019年内日成交量低于该股票当年平均日成交量的有148个交易日。,"[(148,)]"
770,兰州海默科技股份有限公司的哪些产品处于推广阶段？,N_A,N_A
771,2008年南京中电联环保股份有限公司营业收入增长主要来源是什么？,N_A,N_A
772,在本招股意向书的报告期内，常熟风范电力设备股份有限公司生产所需的主要原材料是什么？,N_A,N_A
773,2020年一季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2020年一季度，共有996家基金发生了净赎回，总共赎回了196350640124.80份。,"[(996, 196350640124.8)]"
774,帮我查一下在2020年，代码为000929的A股股票今开盘高于昨收盘的天数？,在2020年，代码为000929的A股股票今开盘高于昨收盘的天数是90天。,"[(90,)]"
775,我想知道鹏华丰诚债券A基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，鹏华丰诚债券A基金在20200930的季报中，其可转债持仓占比最大的是家用电器行业。,"[('家用电器',)]"
776,真兰仪表的主营业务是什么？,N_A,N_A
777,请帮我查询出20210511日，建筑装饰一级行业涨幅超过5%（不包含）的股票数量。,20210511日，建筑装饰一级行业涨幅超过5%（不包含）的股票数量为5。,"[(5,)]"
778,西安启源机电装备股份有限公司战略委员会成员由几名公司董事组成？,N_A,N_A
779,请帮我查询下股票代码为002870的股票在2021年内最高日收盘价是多少？,股票代码为002870的股票在2021年内最高日收盘价是45.54元。,"[(45.54,)]"
780,帮我查一下在2020年，代码为601028的A股股票今开盘高于昨收盘的天数？,在2020年，代码为601028的A股股票今开盘高于昨收盘的天数是121天。,"[(121,)]"
781,20190917日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,20190917日，成交金额最大的前三家上市公司的股票代码从大到小分别是601318，000063和300059。,"[('601318',), ('000063',), ('300059',)]"
782,截至2010年6月30日，西安启源机电装备股份有限公司在册员工总数为多少人？,N_A,N_A
783,20190401日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,20190401日，成交金额最大的前三家上市公司的股票代码从大到小分别是600030，601318和300059。,"[('600030',), ('601318',), ('300059',)]"
784,我想知道信澳量化多因子混合(LOF)A在2020年Q1的季报中，该基金的第5大重仓股的代码是什么?,信澳量化多因子混合(LOF)A在2020年Q1的季报中，该基金的第5大重仓股的代码是300012，股票简称是华测检测。,"[('300012', '华测检测')]"
785,20190726日，一级行业为化工的股票的成交量合计是多少？取整。,20190726日，一级行业为化工的股票的成交量合计是2342532922股。,"[(2342532922.0,)]"
786,广州中海达卫星导航技术股份有限公司的主要发起人是谁？,N_A,N_A
787,我想知道在2019年，广发基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,在2019年，广发基金管理有限公司已发行的基金中，有14只基金报告期期初基金总份额小于报告期期末基金总份额。,"[(14,)]"
788,广东银禧科技股份有限公司设立时的发起人是谁？,N_A,N_A
789,请帮我查询在截止2019-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,在截止2019-03-31的基金定期报告中，基金总赎回份额为零的基金有110个。,"[(110,)]"
790,2017年大博医疗科技股份有限公司收到了哪家公司的侵犯专利诉讼？,N_A,N_A
791,珠海健帆生物科技股份有限公司在哪些方面形成了较强的竞争优势？,N_A,N_A
792,"请查询：2019年12月年报(含半年报),持有19农业银行CD120且是前10大重仓股的基金有几个？","2019年12月年报(含半年报),持有19农业银行CD120且是前10大重仓股的基金有2个。","[(2,)]"
793,根据武汉兴图新科电子股份有限公司招股意向书，电子信息行业的下游主要包括哪些行业？,N_A,N_A
794,招股意向书中所披露的湖南长远锂科股份有限公司的特别风险因素有哪些？,N_A,N_A
795,武汉兴图新科电子股份有限公司参与的哪个工程荣获了国家科技进步一等奖？,N_A,N_A
796,云南沃森生物技术股份有限公司先后承担了多少国家级、省级、市级课题项目？,N_A,N_A
797,海南双成药业股份有限公司的主导产品是什么？,N_A,N_A
798,国寿安保泰恒纯债债券基金在20200630且报告类型是年报(含半年报)的持债市值中，哪类债券市值最高？,国寿安保泰恒纯债债券基金在20200630且报告类型是年报(含半年报)的持债市值中，中期票据债券市值最高。,"[('中期票据',)]"
799,截止2006 年6月30日，湖南南岭民用爆破器材股份有限公司是否有长期借款，余额为多少？,N_A,N_A
800,北京天宜上佳高新材料股份有限公司的控股股东是谁？持有多少的股份？,N_A,N_A
801,2007年广东银禧科技股份有限公司收购了银禧工塑多少股份？这次收购的目的是什么？,N_A,N_A
802,在2020年的年度报告里，华安基金管理有限公司管理的基金中，有多少比例的基金是个人投资者持有的份额超过机构投资者？希望得到一个精确到两位小数的百分比。,在2020年的年度报告里，华安基金管理有限公司管理的基金中，有56.86%的比例的基金是个人投资者持有的份额超过机构投资者。,"[(56.86,)]"
803,烟台杰瑞石油服务集团股份有限公司的劣势是什么？,N_A,N_A
804,请问2020年一季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,2020年一季度有798家基金是净申购，它们的净申购份额加起来是325062572784.25份。,"[(798, 325062572784.25)]"
805,请帮我计算，代码为300142的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,代码为300142的股票，2020年一年持有的年化收益率为15.10%。,"[('300142', 15.1)]"
806,请问2021年四季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,2021年四季度有1696家基金是净申购，它们的净申购份额加起来是456868200841.76份。,"[(1696, 456868200841.76)]"
807,中国铁路通信信号股份有限公司的实际控制人是谁？,N_A,N_A
808,20190408日，开盘价较上一交易日最高价高的股票有多少只？（如上一交易日没有某只股票，则不统计在内）,20190408日，开盘价较上一交易日最高价高的股票有537只。,"[(537,)]"
809,广州中海达卫星导航技术股份有限公司的国内营销网络七大区是哪些？,N_A,N_A
810,截止2005年12月31日，南岭化工厂的总资产和净资产分别是多少？,N_A,N_A
811,截至2017年12月31日，汉嘉设计集团股份有限公司无形资产原值为多少？ 账面价值为多少？,N_A,N_A
812,20210218港股下跌的股票家数有多少家?,20210218港股下跌的股票家数有1959家。,"[(1959,)]"
813,2007年度，联化科技股份有限公司向欧盟出口的销售收入占公司工业业务收入的比重是多少？,N_A,N_A
814,请问股票代码为600601的股票在2019年内日成交量低于该股票当年平均日成交量的有多少个交易日？,股票代码为600601的股票在2019年内日成交量低于该股票当年平均日成交量的有178个交易日。,"[(178,)]"
815,报告期各期，深圳市铁汉生态环境股份有限公司 经营活动产生的现金流量净额分别为多少？,N_A,N_A
816,"请帮我查询在2020年,恒生前海基金管理有限公司成立哪种类型的基金个数最多?","在2020年,恒生前海基金管理有限公司成立债券型的基金个数最多。","[('债券型',)]"
817,请帮我查询下股票代码为301182的股票在2021年内最高日收盘价是多少？,股票代码为301182的股票在2021年内最高日收盘价是48.34元。,"[(48.34,)]"
818,珠海健帆生物科技股份有限公司的产品已覆盖全国多少个省市和医院？,N_A,N_A
819,招商基金管理有限公司管理的混合型产品的数量有多少?,招商基金管理有限公司管理的混合型产品的数量是34只。,"[(34,)]"
820,请查询：在20190729，属于申万二级橡胶行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20190729，属于申万二级橡胶行业的A股股票，它们的平均成交金额是41964749.89474元。,"[(41964749.89474,)]"
821,根据招股意向书，预计昇兴集团股份有限公司2015年1-3月实现销售收入的范围是？,N_A,N_A
822,融通增强收益债券C基金在20201231的季报里，前三大持仓占比的债券名称是什么?,融通增强收益债券C基金在20201231的季报里，前三大持仓占比的债券名称是20国开06，20进出08和国开1805。,"[('20国开06',), ('20进出08',), ('国开1805',)]"
823,请查询：在20190906，属于申万二级营销传播行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,在20190906，属于申万二级营销传播行业的A股股票，它们的平均成交金额是114525816.70000元。,"[(114525816.7,)]"
824,2019年三季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2019年三季度，共有598家基金发生了净赎回，总共赎回了115607107036.04份。,"[(598, 115607107036.04)]"
825,在2021年11月22日，使用中信行业分类标准，股票代码600267是属于哪个一级行业的?,在2021年11月22日，使用中信行业分类标准，股票代码600267属于医药一级行业。,"[('医药',)]"
826,烟台杰瑞石油服务集团股份有限公司的产品和服务主要应用于哪个行业？,N_A,N_A
827,大博医疗科技股份有限公司合并报表中商誉的金额是多少？,N_A,N_A
828,20201231日，建筑装饰一级行业有多少只A股股票？,20201231日，建筑装饰一级行业有166只A股股票。,"[(166,)]"
829,请帮我计算，代码为601117的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,代码为601117的股票，2020年一年持有的年化收益率为-9.41% 。,"[('601117', -9.41)]"
830,兰州海默科技股份有限公司的销售方式主要有哪两种？,N_A,N_A
831,在2019年报中，中科沃土沃瑞灵活配置混合C基金第七大重仓股的代码和股票名称是什么？,在2019年报中，中科沃土沃瑞灵活配置混合C基金第七大重仓股的代码是688358，股票名称是祥生医疗。,"[('688358', '祥生医疗')]"
832,20200616日，成交金额最大的前三家上市公司的股票代码是什么？按成交金额从大到小给出,20200616日，成交金额最大的前三家上市公司的股票代码从大到小分别是600918，000063和300059。,"[('600918',), ('000063',), ('300059',)]"
833,2020年四季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,2020年四季度，共有2038家基金发生了净赎回，总共赎回了387213188588.97份。,"[(2038, 387213188588.97)]"
834,2009年南京中电联环保股份有限公司支付给职工以及为职工支付的现金共计为多少？,N_A,N_A
835,根据中国证监会颁布《上市公司行业分类指引（ 2012 年修订）》，中国铁路通信信号股份有限公司所属的行业是？,N_A,N_A
836,云南沃森生物技术股份有限公司生产的的冻干A、C群脑膜炎球菌多糖结合疫苗具有怎样的国际地位？,N_A,N_A
837,浙江双飞无油轴承股份有限公司收入是否与其下游客户规模匹配？,N_A,N_A
838,20210907日，一级行业为家用电器的股票的成交量合计是多少？取整。,20210907日，一级行业为家用电器的股票的成交量合计是896842437股。,"[(896842437.0,)]"
839,我想知道泰康申润一年持有期混合C基金在20210331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,用申万一级行业统计，泰康申润一年持有期混合C基金在20210331的季报中，其可转债持仓占比最大的是银行行业。,"[('银行',)]"
840,20190812日，一级行业为家用电器的股票的成交金额合计是多少？取整。,20190812日，一级行业为家用电器的股票的成交金额合计是4493443510元。,"[(4493443510.0,)]"
841,我想知道蜂巢基金管理有限公司在2020年成立了多少只管理费率小于0.8%的基金？,蜂巢基金管理有限公司在2020年成立了11只管理费率小于0.8%的基金。,"[(11,)]"
842,"假设股票日收益率计算公式为：日收益率 = （当日收盘价-昨收盘价）/昨收盘价。请帮我找到在2019年，中信行业分类行业划分标准,建筑一级行业中, 代码为多少的股票的日均收益率最高？",在2019年，中信行业分类行业划分标准，建筑一级行业中，代码为603815的股票的日均收益率最高，为2.646%。,"[('603815', 2.64561579479113)]"
843,内蒙古君正能源化工股份有限公司发行前每股净资产为多少元？,N_A,N_A
844,兰州海默科技股份有限公司的实际控制人是谁？,N_A,N_A
845,在2021年报中，荃银高科和格力地产分别在多少只基金的前10大重仓股里？,在2021年报中，荃银高科和格力地产分别在10只基金的前10大重仓股里。,"[(10,)]"
846,请帮我查询在截止2019-09-30的报告期间，基金总份额降低的基金数量是多少？,在截止2019-09-30的报告期间，基金总份额降低的基金数量是598只。,"[(598,)]"
847,深圳信立泰药业股份有限公司注射盐酸头孢吡肟（信力威、1.0 克装）在2006 年、2007 年、2008 年、2009 年1-6 月的最高零售价格分别为多少？,N_A,N_A
848,"请帮我查询下在2020年, 西部利得基金管理有限公司管理的债券型基金中，持有过可交换公司债券的基金有多少只？",在2020年，西部利得基金管理有限公司管理的债券型基金中，持有过可交换公司债券的基金有2只。,"[(2,)]"
849,20201207日，请给出嘉合永泰优选三个月持有期混合(FOF)C基金的管理人和累计单位净值。,20201207日，请给出嘉合永泰优选三个月持有期混合(FOF)C基金的管理人是嘉合基金管理有限公司，累计单位净值是1.0165元。,"[('嘉合基金管理有限公司', 1.0165)]"
850,请帮我计算，代码为000776的股票，2020年一年持有的年化收益率有多少？百分数请保留两位小数。年化收益率定义为：（（有记录的一年的最终收盘价-有记录的一年的年初当天开盘价）/有记录的一年的当天开盘价）* 100%。,代码为000776的股票，2020年一年持有的年化收益率为5.03%。,"[('000776', 5.03)]"
851,广东银禧科技股份有限公司的控股股东是谁？,N_A,N_A
